Name,Year,Domestic,Foreign,Budget,Runtime,Rating,Genre
Miracle on 34th Street, (1994),"$17,320,136","$28,944,248",,1 hr 54 min,PG,Drama;Family;Fantasy
Miracles from Heaven, (2016),"$61,705,123","$12,367,221","$13,000,000",1 hr 49 min,PG,Biography;Drama;Family
Everything Must Go, (2010),"$2,711,643","$108,847","$5,000,000",1 hr 37 min,R,Comedy;Drama
"Miraculous: Ladybug & Cat Noir, the Movie", (2023),"$40,209,224","$40,209,224",,1 hr 45 min,PG,Action;Adventure;Animation;Comedy;Family;Fantasy;Musical;Romance
Mirage, (2018),"$17,325,485","$17,325,485",,2 hr 8 min,,Drama;Fantasy;Mystery;Romance;Thriller
Mirai, (2018),"$812,794","$27,944,167",,1 hr 38 min,PG,Adventure;Animation;Drama;Family;Fantasy
Miral, (2010),"$373,420","$759,423",,1 hr 52 min,R,Drama;History
Miranda's Victim, (2023),"$100,302","$100,302",,2 hr 7 min,,Crime;Drama
Marcel the Shell with Shoes On, (2021),"$6,333,702","$575,507",,1 hr 30 min,PG,Animation;Comedy;Drama;Family;Fantasy
Mirchi, (2013),"$5,676","$5,676",,2 hr 35 min,,Action;Drama
The Hunger, (1983),"$5,979,292","$9,030",,1 hr 37 min,,Drama;Horror
Black Mirror, (2011),"$320,000","$320,000",,1 hr,,Crime;Drama;Mystery;Sci-Fi;Thriller
The Imaginarium of Doctor Parnassus, (2009),"$7,689,607","$54,119,168","$30,000,000",2 hr 3 min,PG-13,Adventure;Comedy;Fantasy;Mystery
Zerkalnye voyny. Otrazhenie pervoe, (2005),"$1,858,381","$1,858,381",,1 hr 49 min,,Action;Crime;Drama
"Mirror, Mirror", (2022),"$83,779","$83,779",,1 hr 19 min,,Comedy
Magic Mirror 2, (2018),"$3,161,317","$3,161,317",,,,
Mirrormask, (2005),"$866,999",,"$4,000,000",1 hr 41 min,PG,Drama;Fantasy
Hirugao, (2017),"$20,129,230","$20,129,230",,2 hr 5 min,,Drama;Romance
Mirush, (2007),"$593,263","$593,263",,1 hr 40 min,,Crime;Drama
Mirza: The Untold Story, (2012),"$196,398","$196,398",,2 hr 47 min,,Action;Comedy;Crime;Drama;Romance
Titanic, (1997),"$674,292,608","$1,590,450,697","$200,000,000",3 hr 14 min,PG-13,Drama;Romance
Mischief, (1985),"$8,692,426",,,1 hr 40 min,,Comedy;Romance
Misconduct, (2016),"$2,049,761","$2,049,761",,1 hr 46 min,R,Crime;Drama;Mystery;Thriller
Misery, (1990),"$61,276,872",$725,,1 hr 47 min,,Drama;Thriller
Mishima: A Life in Four Chapters, (1985),"$437,547","$132,449",,2 hr,,Biography;Drama
Misha and the Wolves, (2021),"$16,166","$16,166",,1 hr 30 min,PG-13,Documentary;Drama
Miss Bala, (2019),"$15,006,824","$376,756","$15,000,000",1 hr 44 min,PG-13,Action;Crime;Drama;Thriller
Miss Conception, (2008),"$2,134","$567,072",,1 hr 44 min,R,Comedy;Romance
Miss Congeniality 2: Armed & Fabulous, (2005),"$48,478,006","$52,915,563",,1 hr 55 min,PG-13,Action;Comedy;Crime
Kidnap - Bo's Most Exciting Holiday Ever, (2015),"$465,184","$465,184",,1 hr 27 min,,Adventure;Family
Miss Firecracker, (1989),"$1,852,655",,,1 hr 42 min,,Comedy;Drama
Miss Gold Digger, (2007),"$3,948,507","$3,948,507",,1 hr 48 min,,Comedy;Romance
Miss Granny, (2014),"$58,940,254","$58,940,254",,2 hr 4 min,,Comedy;Fantasy;Music
"Kiss Him, Not Me", (2020),"$1,669,719","$1,669,719",,1 hr 30 min,,Comedy;Music;Romance
Miss Hokusai, (2015),"$222,670","$155,032",,1 hr 33 min,PG-13,Animation;Biography;Drama;History
Miss Julie, (1999),"$43,941",,,1 hr 43 min,R,Drama
Miss Kicki, (2009),$129,$129,,1 hr 28 min,,Drama
Miss Lovely, (2012),"$70,845","$70,845",,1 hr 53 min,,Crime;Drama;Romance
Miss March, (2009),"$4,543,320","$48,309",,1 hr 30 min,R,Comedy;Romance
Do You Mind If I Kiss Mommy?, (2003),"$95,853","$95,853",,1 hr 27 min,,Comedy;Romance
Miss Nobody, (2010),"$90,647","$90,647",,1 hr 32 min,R,Comedy;Crime
Miss Oyu, (1951),"$5,020","$5,020",,1 hr 34 min,,Drama;Romance
Miss Peregrine's Home for Peculiar Children, (2016),"$87,242,834","$209,239,612","$110,000,000",2 hr 7 min,PG-13,Adventure;Drama;Family;Fantasy;Thriller
Miss Pettigrew Lives for a Day, (2008),"$12,313,694","$4,411,239",,1 hr 32 min,PG-13,Comedy;Romance
Pilgrim's Progress, (2019),"$1,294,596","$1,908,317",,1 hr 48 min,PG,Adventure;Animation;Family;Fantasy
Robin Hood, (2010),"$105,269,730","$216,400,011","$200,000,000",2 hr 20 min,PG-13,Action;Adventure;Drama;History
Miss Sloane, (2016),"$3,500,605","$5,600,941",,2 hr 12 min,R,Drama
Kiss of the Spider Woman, (1985),"$17,005,229","$4,425",,2 hr,,Drama
Fröken Sverige, (2004),"$28,860","$28,860",,1 hr 32 min,,Drama
The Night of the Shooting Stars, (1982),"$2,257,307",,,1 hr 47 min,,Drama;Fantasy;Romance;War
Heaven Help Us, (1985),"$6,070,794",,,1 hr 44 min,,Comedy;Drama;Romance
Miss You Already, (2015),"$1,162,653","$6,411,344",,1 hr 52 min,PG-13,Comedy;Drama;Romance
Miss You Like Crazy, (2010),"$3,183,529","$3,183,529",,2 hr 6 min,,Comedy;Drama;Romance
The Missile, (2024),"$231,576","$231,576",,1 hr 50 min,,Comedy;Drama
Fly Me to the Moon, (2024),"$20,532,222","$21,693,132",,2 hr 12 min,PG-13,Comedy;Romance
Missing, (2023),"$32,502,025","$16,265,823",,1 hr 51 min,PG-13,Drama;Mystery;Thriller
Missing in Action, (1984),"$22,812,411",,,1 hr 41 min,,Action;Adventure;Drama;Thriller;War
Missing in Action 2: The Beginning, (1985),"$10,755,447",,,1 hr 36 min,,Action;Drama;Thriller;War
In America, (2002),"$15,539,656","$9,843,255",,1 hr 45 min,PG-13,Drama
Missing Link, (2019),"$16,649,539","$9,916,171",,1 hr 33 min,PG,Adventure;Animation;Comedy;Family;Fantasy
The Missing Lynx, (2008),"$4,201,862","$4,201,862",,1 hr 37 min,PG,Action;Adventure;Animation;Comedy;Family
Lionheart, (1990),"$24,078,196","$193,000","$6,000,000",1 hr 48 min,R,Action;Crime;Drama;Sport
Missing You, (2016),"$4,538,719","$4,538,719",,1 hr 48 min,,Crime;Thriller
Mission in 7 Days, (2019),"$1,703","$1,703",,,,
For Your Eyes Only, (1981),"$54,812,802","$24,748",,2 hr 7 min,,Action;Adventure;Thriller
Tschiller: Off Duty, (2016),"$2,897,344","$2,897,344",,2 hr 20 min,,Crime;Drama;Mystery;Thriller
Mission Milano, (2016),"$37,749,848","$37,749,848",,1 hr 43 min,,Action;Adventure;Comedy
Moscow Mission, (2023),"$36,900","$36,900",,2 hr 8 min,,Action;Crime;Drama;Thriller
Mission: Impossible, (1996),"$180,981,856","$276,714,535","$80,000,000",1 hr 50 min,PG-13,Action;Adventure;Thriller
Mission: Impossible - Fallout, (2018),"$220,159,104","$571,498,294","$178,000,000",2 hr 27 min,PG-13,Action;Adventure;Thriller
Mission: Impossible - Ghost Protocol, (2011),"$209,397,903","$485,315,477","$145,000,000",2 hr 12 min,PG-13,Action;Adventure;Thriller
Mission: Impossible - Rogue Nation, (2015),"$195,042,377","$487,674,259","$150,000,000",2 hr 11 min,PG-13,Action;Adventure;Thriller
Mission: Impossible - Dead Reckoning Part One, (2023),"$172,135,383","$398,484,455","$291,000,000",2 hr 43 min,PG-13,Action;Adventure;Thriller
Mission: Impossible II, (2000),"$215,409,889","$330,978,219","$125,000,000",2 hr 3 min,PG-13,Action;Adventure;Thriller
Mission: Impossible - The Final Reckoning, (2025),,,,,,Action;Adventure;Thriller
The Minute You Wake up Dead, (2022),"$35,162","$35,162",,1 hr 30 min,R,Drama;Mystery;Thriller
Mississippi Burning, (1988),"$34,603,943",,,2 hr 8 min,,Crime;Drama;Mystery;Thriller
Cold Case Hammarskjöld, (2019),"$104,965",,,2 hr 8 min,,Documentary;History
Mississippi Grind, (2015),"$130,541","$292,205",,1 hr 48 min,R,Comedy;Drama
Mississippi Masala, (1991),"$7,332,515",,,1 hr 58 min,R,Drama;Romance
Mississippi Mermaid, (1969),"$33,725",,,2 hr 3 min,R,Crime;Drama;Romance
Gorillas in the Mist, (1988),"$24,720,479","$36,429,000",,2 hr 9 min,,Biography;Drama
Mr. Deeds Goes to Town, (1936),"$8,362","$8,362","$800,000",1 hr 55 min,,Comedy;Drama;Romance
Mister Cory, (1957),"$4,462","$4,462",,1 hr 32 min,,Crime;Drama;Thriller
Hallam Foe, (2007),"$60,641","$2,089,158",,1 hr 35 min,R,Drama;Mystery;Romance
Mister Johnson, (1990),"$1,464,242",,,1 hr 41 min,,Drama
Mister Knockout, (2022),"$316,854","$316,854",,1 hr 57 min,,Biography;Drama;History;Sport
Mister Lonely, (2007),"$167,396","$240,278",,1 hr 52 min,,Comedy;Drama
Mister Roberts, (1955),,,,2 hr 3 min,,Comedy;Drama;War
Sister Smile, (2009),"$1,737,658","$1,737,658",,2 hr,,Biography;Drama;Music
Mistress, (1992),"$1,102,469",,,1 hr 50 min,R,Comedy;Drama
Mistress America, (2015),"$2,500,431","$840,306",,1 hr 24 min,R,Comedy;Drama
Red Land (Rosso Istria), (2018),"$159,693","$159,693",,2 hr 30 min,,Drama;History
Misty, (1961),,,,1 hr 31 min,,Drama;Family
Thomas & Friends: Misty Island Rescue, (2010),"$175,885","$175,885",,1 hr,,Adventure;Animation;Family;Fantasy
Misunderstood, (1984),"$1,525,532",,,1 hr 31 min,,Drama
A Night at the Opera, (1935),"$5,320",,,1 hr 36 min,,Comedy;Music;Musical
The Mitchells vs. the Machines, (2021),,,,1 hr 54 min,PG,Adventure;Animation;Comedy;Family;Sci-Fi
Mithya, (2008),"$1,966,789","$1,966,789",,1 hr 50 min,,Comedy;Crime;Thriller
Saving Bikini Bottom: The Sandy Cheeks Movie, (2024),,,,1 hr 22 min,,Adventure;Animation;Comedy;Family;Fantasy
My Penguin Friend, (2024),"$2,769,460","$2,262,945",,1 hr 37 min,PG,Adventure;Drama;Family
Mitron, (2018),"$698,636","$698,636",,1 hr 59 min,,Comedy
Mitti, (2010),"$6,103","$6,103",,2 hr 30 min,,Drama
Mixed Nuts, (1994),"$6,821,850",,,1 hr 37 min,PG-13,Comedy;Drama
Mix, (2017),"$15,224,207","$15,224,207",,1 hr 59 min,,Comedy;Drama;Romance;Sport
Mixed Kebab, (2012),"$96,217","$96,217",,1 hr 38 min,,Drama;Romance
The Black Power Mixtape 1967-1975, (2011),"$273,749","$6,507",,1 hr 40 min,,Documentary;History
The Sea of Trees, (2015),"$20,444","$886,551",,1 hr 50 min,PG-13,Drama;Fantasy;Mystery;Thriller
Johnny Mnemonic, (1995),"$19,075,720",,"$26,000,000",1 hr 43 min,R,Action;Drama;Sci-Fi;Thriller
Moana 2, (2024),"$239,369,938","$184,216,642",,1 hr 40 min,PG,Adventure;Animation;Comedy;Family;Fantasy;Musical
Mo' Better Blues, (1990),"$16,153,593",,,2 hr 9 min,,Drama;Music;Romance
Mo' Money, (1992),"$40,227,006",,,1 hr 29 min,R,Action;Comedy;Crime;Romance;Thriller
La Bamba, (1987),"$54,215,416",,,1 hr 48 min,,Biography;Drama;Music
The Death of Mr. Lazarescu, (2005),"$80,301","$136,621",,2 hr 33 min,R,Comedy;Drama
Mob Sister, (2005),"$678,034","$678,034",,1 hr 30 min,,Crime;Drama
"The Tulse Luper Suitcases, Part 1: The Moab Story", (2003),"$90,071","$90,071",,2 hr 7 min,,Adventure;Biography;Drama;Romance;Thriller;War
Mobile Suit Gundam 00: A Wakening of the Trailblazer, (2010),"$9,381,149","$9,381,149",,2 hr 1 min,,Action;Adventure;Animation;Drama;Mystery;Sci-Fi;Thriller
Mobile Suit Gundam: Hathaway, (2021),"$18,731,309","$18,731,309",,1 hr 35 min,,Action;Animation;Drama;Romance;Sci-Fi
Mobile Suit Gundam SEED Freedom, (2024),"$36,038,764","$36,038,764",,2 hr 4 min,,Action;Adventure;Animation;Drama;Sci-Fi
Mobile Suit Gundam: Char's Counterattack, (1988),,,,2 hr 4 min,,Action;Animation;Drama;Sci-Fi;War
Mobsters, (1991),"$20,246,790",,,1 hr 44 min,R,Crime;Drama
Mobsters and Mormons, (2005),"$409,604",,,1 hr 30 min,PG,Comedy
Moby Dick, (1956),$353,$353,,1 hr 56 min,,Adventure;Drama
Meet the Fockers, (2004),"$279,261,160","$243,396,776","$80,000,000",1 hr 55 min,PG-13,Comedy;Romance
The King and the Mockingbird, (1980),"$27,513","$139,938",,1 hr 23 min,,Animation;Family;Fantasy;Romance
Head-On, (2004),"$435,395","$10,630,406",,2 hr 1 min,R,Drama;Romance
Dial M for Murder, (1954),"$24,845","$18,070",,1 hr 45 min,,Crime;Thriller
Modern Boy, (2008),"$3,839,780","$3,839,780",,2 hr 1 min,,Drama
Modern Girls, (1986),"$604,849",,,1 hr 24 min,,Comedy;Drama;Romance
Modern Life, (2008),"$2,418,958","$2,418,958",,1 hr 28 min,,Documentary
Modern Love, (2008),"$2,159,162","$2,159,162",,1 hr 40 min,,Comedy;Musical;Romance
Modern Problems, (1981),"$26,154,211",,,1 hr 33 min,,Comedy;Fantasy;Sci-Fi
Modern Romance, (1981),"$2,863,642",,,1 hr 33 min,,Comedy;Romance
Modern Times, (1936),"$163,577","$300,041",,1 hr 27 min,,Comedy;Drama;Romance
Modesty Blaise, (1966),$170,$170,,1 hr 59 min,,Action;Adventure;Comedy;Crime;Musical
Modhi Vilayadu, (2009),"$6,653","$6,653",,,,
Hunting and Gathering, (2007),"$31,927,276","$31,927,276",,1 hr 37 min,,Drama;Romance
Modigliani, (2004),"$205,165","$1,341,843",,2 hr 8 min,R,Biography;Drama
Nanny McPhee Returns, (2010),"$29,011,215","$64,239,906","$35,000,000",1 hr 49 min,PG,Comedy;Family;Fantasy;War
Suzaku, (1997),"$1,770","$1,770",,1 hr 35 min,,Drama
Monty Python Live at the Hollywood Bowl, (1982),"$327,958",,,1 hr 21 min,,Comedy;Documentary;Musical
Millennium Mambo, (2001),"$14,904","$378,447",,1 hr 59 min,R,Drama;Romance
Hum To Mohabbat Karega, (2000),"$75,446",,,2 hr 33 min,,Action;Comedy;Romance;Thriller
Hindustan Ki Kasam, (1999),"$310,330",,,2 hr 26 min,,Action;Drama
Tiger Zinda Hai, (2017),"$5,560,921","$81,759,079","$20,470,000",2 hr 41 min,,Action;Adventure;Thriller
Mohabbatein, (2000),"$1,070,000","$3,209,351",,3 hr 36 min,,Drama;Musical;Romance
Mohalla Assi, (2015),"$444,399","$444,399",,2 hr 30 min,,Comedy;Drama
Muhammad: The Messenger of God, (2015),"$1,440,044","$1,440,044",,2 hr 42 min,,Biography;Drama;History
Pyare Mohan, (2006),"$150,198","$91,643",,2 hr 10 min,,Action;Comedy;Drama;Romance;Thriller
Mohanlal, (2018),"$250,635","$250,635",,2 hr 30 min,,Comedy
Drums Along the Mohawk, (1939),"$10,360","$10,360",,1 hr 44 min,,Drama;Romance;War;Western
Mohenjo Daro, (2016),"$1,264,339","$365,892",,2 hr 35 min,,Action;Adventure;Drama;History
Mothra, (1961),$90,$90,,1 hr 41 min,,Adventure;Fantasy;Sci-Fi;Thriller
The Seventh Seal, (1957),"$311,212","$311,212",,1 hr 36 min,,Drama;Fantasy
"Maya, donne-moi un titre", (2024),"$72,078","$72,078",,1 hr 1 min,,Adventure;Animation;Comedy;Family;Fantasy
Through the Night, (2023),"$63,297","$63,297",,1 hr 48 min,,Drama
Mojave, (2015),"$8,253",$349,,1 hr 33 min,R,Action;Adventure;Crime;Drama;Mystery;Thriller
Mojin: The Lost Legend, (2015),"$1,243,810","$258,124,638","$37,000,000",2 hr 7 min,,Action;Adventure;Drama;Fantasy;Horror;Mystery;Thriller
Phone Booth, (2002),"$46,566,212","$51,270,926","$13,000,000",1 hr 21 min,R,Crime;Thriller
Mojin: The Worm Valley, (2018),"$101,516","$22,280,067",,1 hr 50 min,,Action;Adventure;Fantasy;Horror;Mystery
Mot Moskva, (2003),"$10,476","$10,476",,1 hr 24 min,,Drama
Molière's Last Stage, (2024),"$331,962","$331,962",,1 hr 34 min,,Comedy;Drama
Moll Flanders, (1996),"$3,486,957",,,2 hr 3 min,PG-13,Drama;Romance
Molly, (1999),"$17,650",,"$21,000,000",1 hr 42 min,PG-13,Comedy;Drama;Romance
Molly & Wors, (2013),"$118,215","$118,215",,1 hr 49 min,,Comedy
Lovin' Molly, (1974),,,,1 hr 38 min,,Drama;Romance
Molly's Game, (2017),"$28,780,744","$30,503,271",,2 hr 20 min,R,Biography;Crime;Drama
Moloch, (2022),"$558,917","$558,917",,1 hr 39 min,,Horror;Mystery
Molokai, (1999),"$182,695","$182,695",,1 hr 49 min,PG,Biography;Drama
Mom and Dad, (2017),"$165,962","$165,962",,1 hr 26 min,R,Comedy;Horror;Thriller
Mom and Dad Save the World, (1992),"$2,034,470",,,1 hr 28 min,,Adventure;Comedy;Family;Sci-Fi
Wives on Strike: The Revolution, (2017),"$3,476","$3,476",,1 hr 34 min,,Comedy;Drama
Moment by Moment, (1978),"$10,963,824",,,1 hr 45 min,,Drama;Romance
The Karate Kid, (1984),"$91,077,276","$42,043",,2 hr 6 min,,Action;Drama;Family;Sport
Moments, (2018),"$7,711","$7,711",,1 hr 33 min,,Drama
Moments of Love, (2005),"$27,710","$27,710",,1 hr 30 min,,Romance
Momentum, (2015),"$789,406","$789,406",,1 hr 36 min,,Action;Crime;Thriller
"Don't Cry, Mommy", (2012),"$6,216,889","$6,216,889",,1 hr 32 min,,Drama;Thriller
Mommie Dearest, (1981),"$19,032,261",$97,,2 hr 9 min,R,Biography;Drama
The Boogeyman, (2023),"$43,244,282","$24,062,961",,1 hr 38 min,PG-13,Horror;Mystery;Thriller
Mommy, (2014),"$3,494,070","$9,662,786",,2 hr 19 min,R,Drama
Don't Cry Mommy 2, (2005),"$734,890","$734,890",,,,Comedy;Crime
I'm Not Scared, (2003),"$1,615,328","$5,739,090",,1 hr 48 min,R,Crime;Drama;Mystery;Thriller
Momo, (2017),"$5,226,331","$5,226,331",,1 hr 25 min,,Comedy
Birdemic 3: Sea Eagle, (2022),$758,$758,,1 hr 23 min,,Horror;Romance;Sci-Fi;Thriller
Moms' Night Out, (2014),"$10,429,707","$107,249","$5,000,000",1 hr 38 min,PG,Comedy
"Mi iubita, mon amour", (2021),"$39,790","$39,790",,1 hr 35 min,,Drama;Romance
Hamara Dil Aapke Paas Hai, (2000),"$392,076",,,2 hr 45 min,,Action;Drama;Romance
My Son, (2006),"$145,228","$145,228",,1 hr 19 min,,Drama
"I Love You, Man", (2009),"$71,440,011","$20,540,348",,1 hr 45 min,R,Comedy;Romance
Comment j'ai rencontré mon père, (2017),"$241,565","$241,565",,1 hr 22 min,,Comedy
Czech-Made Man, (2011),"$349,947","$349,947",,1 hr 36 min,,Comedy
My Best Friend, (2018),"$14,193","$14,193",,1 hr 30 min,,Drama;Romance
My Uncle, (1958),"$84,979","$84,979",,1 hr 56 min,,Comedy
By the Pricking of My Thumbs, (2005),"$9,170,231","$9,170,231",,1 hr 45 min,,Comedy;Mystery
Hiroshima Mon Amour, (1959),"$96,439","$43,508",,1 hr 30 min,,Drama;Romance
Mona Lisa, (1986),"$5,794,184",,,1 hr 44 min,,Crime;Drama;Romance;Thriller
Mona's World, (2001),"$592,858","$592,858",,1 hr 25 min,,Comedy
Any Given Sunday, (1999),"$75,530,832","$24,700,000","$55,000,000",2 hr 42 min,R,Drama;Sport
Mondays in the Sun, (2002),"$153,256","$9,679,407",,1 hr 53 min,R,Comedy;Drama
Bailey's Billion$, (2005),"$45,000",,,1 hr 30 min,G,Comedy;Family
Mondo New York, (1988),"$193,209",,,1 hr 23 min,,Comedy;Documentary;Music
Mondo Trasho, (1969),$622,,,1 hr 35 min,,Comedy
Mondovino, (2004),"$209,618","$1,578,707",,2 hr 15 min,PG-13,Documentary
Dumb Money, (2023),"$13,925,356","$6,761,614",,1 hr 45 min,R,Biography;Comedy;Drama
Money for Nothing, (1993),"$1,039,824",,,1 hr 40 min,R,Comedy;Crime;Drama
Far from Home, (1989),"$11,859",,,1 hr 26 min,,Crime;Drama;Mystery;Thriller
Money Hai Toh Honey Hai, (2008),"$1,508,351","$1,508,351",,2 hr 18 min,,Comedy;Drama
Mad Money, (2008),"$20,668,843","$5,743,320",,1 hr 44 min,PG-13,Comedy;Crime;Thriller
"Music, Money, Madness... Jimi Hendrix in Maui", (2020),,,,1 hr 31 min,,Documentary
L'Argent, (1983),,,,1 hr 25 min,,Crime;Drama
Money Monster, (2016),"$41,012,075","$52,270,529","$27,000,000",1 hr 38 min,R,Action;Crime;Drama;Mystery;Thriller
Money No Enough II, (2008),"$4,759,454","$4,759,454",,2 hr 6 min,,Comedy;Drama
Boys on the Side, (1995),"$23,440,188",,,1 hr 55 min,R,Comedy;Drama
Money Talks, (1997),"$40,922,619","$7,484,992",,1 hr 37 min,R,Action;Comedy;Crime;Thriller
Money Train, (1995),"$35,431,113",,,1 hr 50 min,R,Action;Comedy;Crime;Drama;Thriller
Monga, (2010),"$4,244,379","$4,244,379",,2 hr 20 min,,Action;Crime;Drama
Mongol: The Rise of Genghis Khan, (2007),"$5,705,761","$20,821,749","$18,000,000",2 hr 6 min,R,Action;Biography;Drama;History;War
Mongolian Ping Pong, (2005),"$71,223","$48,509",,1 hr 42 min,,Comedy;Drama
Monica, (2022),"$152,619","$34,194",,1 hr 46 min,R,Drama
Summer with Monika, (1953),"$14,316","$14,316",,1 hr 36 min,,Drama;Romance
Monique, (2002),"$2,212,356","$2,212,356",,1 hr 32 min,,Comedy;Drama;Romance
Monk Comes Down the Mountain, (2015),"$64,455,686","$64,455,686",,2 hr 3 min,,Action
Tibetan Dog, (2011),"$183,873","$183,873",,1 hr 35 min,,Adventure;Animation;Drama;Mystery
Monkey Business, (1952),$265,$265,,1 hr 37 min,,Comedy;Sci-Fi
Monkey King: Hero Is Back, (2015),"$153,262,397","$153,262,397",,1 hr 29 min,PG,Action;Adventure;Animation;Comedy;Family;Fantasy
Monkey Kingdom, (2015),"$16,432,322","$407,341",,1 hr 21 min,,Documentary
Monkey Magic, (2007),"$36,745,063","$36,745,063",,2 hr,,Adventure;Fantasy;History
Monkey Man, (2024),"$25,116,955","$10,154,676",,2 hr 1 min,R,Action;Crime;Thriller
An Open Heart, (2012),"$281,935","$281,935",,1 hr 27 min,,Drama
Monkey Shines, (1988),"$5,344,577",,,1 hr 53 min,R,Drama;Horror;Sci-Fi;Thriller
Monkey Trouble, (1994),"$16,453,258",,,1 hr 36 min,PG,Adventure;Comedy;Crime;Family
Monkey Warfare, (2006),"$36,875",,,1 hr 15 min,,Comedy;Drama
Monkeybone, (2001),"$5,411,999","$2,210,366","$75,000,000",1 hr 33 min,PG-13,Comedy;Fantasy
Monkeys in Winter, (2006),"$8,444","$8,444",,1 hr 51 min,,Drama
Monkey King vs. Er Lang Shen, (2007),,,,,,Animation
Buffalo Soldiers, (2001),"$354,421","$1,946,263","$15,000,000",1 hr 38 min,R,Comedy;Crime;Drama;Thriller;War
Never Say Never Again, (1983),"$55,432,841",,,2 hr 14 min,,Action;Adventure;Thriller
Monogamy, (2010),"$21,527",,,1 hr 36 min,,Drama;Romance
About Love, (2017),"$204,901","$204,901",,1 hr 37 min,,Drama;Romance;Thriller
Princess Mononoke, (1997),"$4,845,631","$165,430,782",,2 hr 13 min,PG-13,Adventure;Animation;Fantasy
Paulo Moura: Alma Brasileira, (2013),"$10,747","$10,747",,,,
Luk Thung Signature, (2016),"$164,238","$164,238",,,,Music
