Name,Year,Domestic,Foreign,Budget,Runtime,Rating,Genre
Wedding Bell Blues, (1996),"$44,052",,,1 hr 42 min,R,Comedy;Romance
Deep Rising, (1998),"$11,203,026",,,1 hr 46 min,R,Action;Adventure;Horror;Sci-Fi
The New World, (2005),"$12,712,093","$36,622,682","$30,000,000",2 hr 15 min,PG-13,Biography;Drama;History;Romance
Un mondo a parte, (2024),"$8,108,856","$8,108,856",,1 hr 53 min,,Comedy;Drama
A Monster in Paris, (2011),"$26,710,392","$26,710,392",,1 hr 30 min,PG,Adventure;Animation;Comedy;Family;Fantasy;Music;Romance;Sci-Fi
Just One of the Guys, (1985),"$11,528,900",,,1 hr 40 min,,Comedy;Romance
Willy Wonka & the Chocolate Factory, (1971),"$573,368","$96,522",,1 hr 40 min,,Adventure;Comedy;Family;Fantasy;Musical
Wonderstruck, (2017),"$1,060,377","$2,225,539",,1 hr 56 min,PG,Adventure;Drama;Mystery
Un novio para mi mujer, (2022),"$544,387","$544,387",,1 hr 32 min,,Comedy;Romance
The Patriarch, (2016),"$2,156,047","$4,000,889",,1 hr 34 min,PG-13,Comedy
A Little Sex, (1982),"$2,370,376",,,1 hr 35 min,,Comedy;Romance
Memory, (2022),"$7,329,043","$5,911,516",,1 hr 54 min,R,Action;Crime;Thriller
Un rey en La Habana, (2005),"$1,770,110","$1,770,110",,1 hr 42 min,,Comedy
The Children Act, (2017),"$547,750","$17,149,044",,1 hr 45 min,R,Drama
"Wenn du wüsstest, wie schön es hier ist", (2015),"$50,604","$50,604",,1 hr 31 min,,Crime;Drama
Another Year, (2010),"$3,205,706","$16,517,060","$8,000,000",2 hr 9 min,PG-13,Comedy;Drama
Te pido un taxi, (2019),"$1,640","$1,640",,1 hr 20 min,,Comedy;Romance
Destiny Turns on the Radio, (1995),"$1,176,982",,,1 hr 42 min,R,Comedy;Crime;Fantasy
The Wingwalker, (2024),"$759,496","$759,496",,1 hr 57 min,,Drama;Thriller
The Hobbit: An Unexpected Journey, (2012),"$303,030,651","$714,000,401",,2 hr 49 min,PG-13,Adventure;Fantasy
Swing Vote, (2008),"$16,289,867","$1,345,530","$21,000,000",2 hr,PG-13,Comedy;Drama
Un'estate ai Caraibi, (2009),"$5,311,857","$5,311,857",,1 hr 50 min,,Comedy
Un'estate al mare, (2008),"$7,770,731","$7,770,731",,1 hr 55 min,,Comedy
Megalopolis, (2024),"$7,629,085","$6,151,845",,2 hr 18 min,R,Drama;Fantasy;Sci-Fi
Mermaids, (1990),"$35,419,397",,,1 hr 50 min,,Comedy;Drama;Romance
Ferris Bueller's Day Off, (1986),"$70,136,369","$585,732",,1 hr 43 min,,Comedy
Ana and Bruno, (2017),"$976,967","$976,967",,1 hr 36 min,,Action;Adventure;Animation;Family;Fantasy;Mystery
A Pigeon Sat on a Branch Reflecting on Existence, (2014),"$222,989","$1,198,422",,1 hr 41 min,PG-13,Comedy;Drama;Fantasy
Diamonds Are Forever, (1971),"$43,819,547","$10,386",,2 hr,,Action;Adventure;Thriller
Appointment with Death, (1988),"$960,040",,,1 hr 42 min,,Crime;Drama;Mystery;Thriller
Love Affair, (1994),"$18,272,894",,"$60,000,000",1 hr 48 min,PG-13,Comedy;Drama;Romance
The Stolen Caravaggio, (2018),"$816,601","$816,601",,1 hr 50 min,,Drama
Revenge, (2017),"$102,091","$835,964",,1 hr 48 min,R,Action;Drama;Horror;Thriller
Excursion, (2023),"$2,303","$2,303",,1 hr 33 min,,Drama
Big Miracle, (2012),"$20,157,300","$4,582,761","$40,000,000",1 hr 47 min,PG,Biography;Drama;Romance
A Letter to Momo, (2011),"$71,712","$6,677,176",,2 hr,,Adventure;Animation;Comedy;Drama;Family;Fantasy
Night on Earth, (1991),"$2,015,810","$97,577",,2 hr 9 min,R,Comedy;Drama
A Woman Under the Influence, (1974),"$18,616","$18,616",,2 hr 35 min,,Drama;Romance
Reservoir Dogs, (1992),"$2,832,029","$81,615","$1,200,000",1 hr 39 min,R,Crime;Thriller
White Material, (2009),"$304,020","$1,088,414",,1 hr 46 min,,Drama;War
A Woman Without Love, (1952),"$2,163","$2,163",,1 hr 25 min,,Drama
Una noche con Adela, (2023),"$2,967","$2,967",,1 hr 45 min,,Drama;Thriller
Una noche, (2012),"$100,887","$11,016",,1 hr 30 min,,Drama;Romance
Night at the Museum, (2006),"$250,863,268","$323,617,961",,1 hr 48 min,PG,Adventure;Comedy;Family;Fantasy
A Movie of Eggs, (2005),"$106,369","$106,369",,1 hr 30 min,,Animation;Comedy;Family
Truman, (2015),"$210,840","$8,816,760",,1 hr 48 min,,Comedy;Drama
The Other Side of the Mountain: Part II, (1978),"$11,565,678",,,1 hr 40 min,,Biography;Drama;Romance
Charming, (2018),"$8,885,072","$8,885,072",,1 hr 25 min,,Adventure;Animation;Comedy;Family;Fantasy;Musical;Romance
Toda una vida, (2023),"$2,059","$2,059",,1 hr 12 min,,Documentary
We Are As Gods, (2021),,,,1 hr 34 min,,Documentary
Hibiki: Shôsetsuka ni naru hôhô, (2018),"$3,111,540","$3,111,540",,1 hr 45 min,,Drama
Unbeatable, (2013),"$25,816,154","$25,816,154",,2 hr 2 min,,Action;Drama;Sport
Unbelievable Adventures of Italians in Russia, (1974),"$13,518","$13,518",,1 hr 44 min,,Adventure;Comedy;Crime
Unborn But Forgotten, (2002),"$1,155,954","$1,155,954",,1 hr 35 min,R,Horror;Mystery
Unborn in the USA: Inside the War on Abortion, (2007),"$1,475",,,1 hr 41 min,,Documentary
Unbowed, (2011),"$22,132,903","$22,132,903",,1 hr 40 min,,Crime;Drama
Unbranded, (2015),"$410,185","$2,607",,1 hr 46 min,PG-13,Adventure;Documentary;Western
El Fin de una Guerra, (2017),"$14,444","$14,444",,,,
Unbroken, (2014),"$115,637,895","$45,821,402","$65,000,000",2 hr 17 min,PG-13,Biography;Drama;Sport;War
Uncertain Glory, (2017),"$733,586","$733,586",,1 hr 55 min,,Drama
Uncertainty, (2008),"$36,689",,,1 hr 41 min,,Drama;Romance;Thriller
Django Unchained, (2012),"$162,805,434","$263,268,939","$100,000,000",2 hr 45 min,R,Comedy;Drama;Western
Uncharted, (2022),"$148,648,820","$258,492,438",,1 hr 56 min,PG-13,Action;Adventure
Strike: An Uncivil War, (2024),"$31,126","$31,126",,1 hr 50 min,,Documentary
Jedda the Uncivilized, (1955),$260,,,1 hr 41 min,,Adventure;Drama;History
Uncle Boonmee Who Can Recall His Past Lives, (2010),"$184,292","$1,030,132",,1 hr 54 min,,Drama;Fantasy
Uncle Buck, (1989),"$66,758,538","$12,500,000",,1 hr 40 min,,Comedy
Uncle Drew, (2018),"$42,469,946","$4,194,468",,1 hr 43 min,PG-13,Comedy;Drama;Sport
Uncle Joe Shannon, (1978),"$494,797",,,1 hr 48 min,,Drama
Uncle Nino, (2003),"$165,000",,,1 hr 44 min,PG,Comedy;Drama;Family
Uncle Vanya, (2020),"$258,248","$258,248",,2 hr 10 min,,Drama
20th Century Boys 1: Beginning of the End, (2008),"$38,231,562","$38,231,562",,2 hr 22 min,,Adventure;Fantasy;Mystery;Sci-Fi
Uncommon Valor, (1983),"$30,503,151",,,1 hr 45 min,,Action;Drama;Thriller;War
Unconditional Love, (2002),"$489,075","$489,075",,2 hr 4 min,PG-13,Comedy;Drama;Musical;Romance;Thriller
Unconquered, (1947),,,,2 hr 26 min,,Adventure;Drama;History;Romance;Western
Amnesiac, (2014),"$61,192","$61,192",,1 hr 30 min,,Drama;Horror;Mystery;Thriller
Unlocked, (2017),"$4,699,125","$4,699,125",,1 hr 38 min,R,Action;Thriller
A People Uncounted, (2011),$930,,,1 hr 39 min,,Documentary;History;Music;War
Uncovered: The War on Iraq, (2004),"$238,924",,,1 hr 23 min,,Documentary;History;War
Uncut, (2003),$762,,,1 hr 18 min,,Comedy
Uncut Gems, (2019),"$50,023,780",,"$19,000,000",2 hr 15 min,R,Crime;Drama;Thriller
Another 48 Hrs., (1990),"$80,818,974","$72,700,000",,1 hr 35 min,,Action;Comedy;Crime;Drama;Mystery;Thriller
DOA: Dead or Alive, (2006),"$480,813","$7,082,512",,1 hr 27 min,PG-13,Action;Adventure;Mystery
The Unborn, (2009),"$42,670,410","$33,843,640","$16,000,000",1 hr 28 min,PG-13,Horror;Mystery;Thriller
Undefeated, (2011),"$562,218","$21,626",,1 hr 53 min,PG-13,Documentary;Sport
Under the Shadow, (2016),"$31,900","$101,424",,1 hr 24 min,PG-13,Drama;Fantasy;Horror;Thriller;War
Underage, (2013),"$30,236","$30,236",,1 hr 17 min,,Drama;Family
Under Parallel Skies, (2024),"$7,264","$7,264",,1 hr 50 min,,Drama;Romance
Under the Stars, (2007),"$1,494,730","$1,494,730",,1 hr 48 min,,Comedy;Drama
Under Cover, (2022),"$27,422","$27,422",,1 hr 31 min,,Documentary
Under Fire, (1983),"$5,696,391",,,2 hr 8 min,,Drama;War
Under Milk Wood, (2015),"$7,843","$7,843",,1 hr 27 min,,Drama
Under My Skin, (1950),,,,1 hr 26 min,,Drama;Sport;Thriller
Bajo el mismo techo, (2019),"$4,101,147","$4,101,147",,1 hr 37 min,,Comedy
Under Our Skin, (2008),"$98,548",,,1 hr 44 min,,Documentary
Under Siege, (1992),"$83,563,139","$73,000,000",,1 hr 43 min,R,Action;Thriller
Under Siege 2: Dark Territory, (1995),"$50,024,083","$54,300,000",,1 hr 40 min,R,Action;Adventure;Thriller
Under Suspicion, (2000),"$260,562","$1,047,680","$25,000,000",1 hr 50 min,R,Crime;Drama;Thriller
American Pie, (1999),"$102,561,004","$132,922,000","$11,000,000",1 hr 35 min,R,Comedy
Artists Under the Big Top: Perplexed, (1968),$684,$684,,1 hr 44 min,,Drama
Under the Bombs, (2007),"$488,227","$488,227",,1 hr 38 min,,Drama;Romance;War
Under the Cherry Moon, (1986),"$10,090,429",,,1 hr 40 min,,Comedy;Drama;Music;Romance
Under the Skin, (2013),"$2,614,251","$4,880,136","$13,300,000",1 hr 48 min,R,Drama;Horror;Mystery;Sci-Fi;Thriller
The Doctor, (1991),"$38,120,905",,,2 hr 2 min,,Drama
Under the Domim Tree, (1995),"$53,532",,,1 hr 42 min,,Drama
Under the Sun of Satan, (1987),"$68,765",$923,,1 hr 38 min,,Drama;Fantasy
Now and Then, (1995),"$27,112,329","$10,479,345",,1 hr 42 min,PG-13,Comedy;Drama;Romance
Under the Tree, (2017),"$67,596","$877,395",,1 hr 29 min,,Comedy;Drama;Thriller
Under the Boardwalk, (2023),,,,1 hr 23 min,PG,Adventure;Animation;Comedy;Family;Musical;Romance
Under the Mountain, (2009),"$662,879","$662,879",,1 hr 30 min,PG-13,Adventure;Drama;Fantasy
The Eight Mountains, (2022),"$302,456","$11,071,842",,2 hr 27 min,,Drama
Under the Sky, (2016),"$3,005","$3,005",,1 hr 21 min,,Drama;Thriller
Under the Radar, (2004),"$89,935","$89,935",,1 hr 35 min,,Adventure;Comedy;Thriller
Under the Rainbow, (1981),"$18,826,490",,,1 hr 38 min,,Comedy
The Monkey King: Havoc in Heaven's Palace, (2014),"$182,206,924","$182,206,924",,1 hr 59 min,,Action;Adventure;Family;Fantasy
Under the Bed 3, (2016),"$1,325,507","$1,325,507",,1 hr 29 min,,Horror
Under the Sun, (1998),"$316,020",,,2 hr 10 min,,Drama;Romance
Under the Stars of Paris, (2020),"$465,428","$465,428",,1 hr 26 min,,Drama
Under the Same Moon, (2007),"$12,590,147","$10,722,902",,1 hr 46 min,PG-13,Adventure;Drama
Under the Sand, (2000),"$1,452,698","$5,078,989",,1 hr 32 min,,Drama;Mystery
Under the Sea 3D, (2009),"$36,262,926","$19,639,698",,41 min,,Documentary;Short
Under the Volcano, (1984),"$2,556,800",,,1 hr 52 min,,Drama
Western Stars, (2019),"$1,581,681","$2,100,000",,1 hr 23 min,PG,Documentary;Music
Under Your Bed, (2023),"$17,689","$17,689",,1 hr 39 min,,Drama;Romance;Thriller
Underclassman, (2005),"$5,655,459","$224,096",,1 hr 35 min,PG-13,Action;Comedy;Crime;Drama;Thriller
Undercover, (2024),"$8,009,477","$8,009,477",,1 hr 40 min,,Thriller
The Mole Song: Undercover Agent Reiji, (2013),"$20,392,349","$20,392,349",,2 hr 10 min,,Action;Comedy;Crime
Undercover Blues, (1993),"$12,324,660",,,1 hr 30 min,PG-13,Comedy;Crime
Miss Minoes, (2001),"$266,959","$4,762,584",,1 hr 26 min,PG,Comedy;Family;Fantasy
Undercurrent, (1946),,,,1 hr 56 min,,Drama;Film-Noir;Thriller
Underset, (2018),"$600,768","$600,768",,,,Drama
White God, (2014),"$282,358","$333,919",,2 hr 1 min,R,Adventure;Drama;Thriller
Dodgeball: A True Underdog Story, (2004),"$114,326,736","$54,096,491","$20,000,000",1 hr 32 min,PG-13,Comedy;Sport
Underground, (1995),"$171,082","$11,052",,2 hr 50 min,,Comedy;Drama;Fantasy;War
The Underground Comedy Movie, (1999),$856,,,1 hr 28 min,R,Comedy
Godai - The Wunderkind, (2020),"$4,948,225","$4,948,225",,1 hr 49 min,,Biography;Drama;History
The Underneath, (1995),"$536,023",,,1 hr 39 min,R,Crime;Thriller
Howard Lovecraft & the Undersea Kingdom, (2017),"$44,162","$44,162",,1 hr 29 min,,Adventure;Animation;Family;Fantasy;Horror
Undertaking Betty, (2002),"$1,868,949","$1,868,949",,1 hr 34 min,R,Comedy;Romance
Undertow, (2004),"$143,597","$13,170",,1 hr 48 min,R,Drama;Thriller
Underwater, (2020),"$17,291,078","$23,591,850",,1 hr 35 min,PG-13,Action;Horror;Sci-Fi;Thriller
Underworld: Rise of the Lycans, (2009),"$45,802,315","$46,356,646","$35,000,000",1 hr 32 min,R,Action;Fantasy;Thriller
Underworld: Awakening, (2012),"$62,321,039","$97,791,632","$70,000,000",1 hr 28 min,R,Action;Fantasy;Horror;Thriller
Underworld: Blood Wars, (2016),"$30,353,973","$50,739,340","$35,000,000",1 hr 31 min,R,Action;Fantasy;Horror;Thriller
Undisputed, (2002),"$12,764,657","$2,181,493","$20,000,000",1 hr 36 min,R,Action;Crime;Drama;Sport
Undiscovered, (2005),"$1,069,318","$13,466","$9,000,000",1 hr 37 min,PG-13,Comedy;Music;Romance
Undisputed 2: Last Man Standing, (2006),"$1,361","$1,361",,1 hr 38 min,R,Action;Crime;Drama;Sport
Undisputed 3: Redemption, (2010),"$285,709","$285,709",,1 hr 36 min,R,Action;Crime;Drama;Sport
The Divided Island, (2024),"$42,396","$42,396",,,,Documentary
Documented, (2013),"$30,662",,,1 hr 29 min,,Biography;Documentary;Family;News
Undoing, (2006),"$44,999",,,1 hr 30 min,R,Crime;Drama;Thriller
Une affaire de principe, (2024),"$842,113","$842,113",,1 hr 35 min,,Drama;Thriller
Think Like a Man, (2012),"$91,547,205","$4,523,302","$12,000,000",2 hr 3 min,PG-13,Comedy;Romance
A Woman Is a Woman, (1961),"$100,665",$826,,1 hr 25 min,,Comedy;Drama;Romance
A Gentle Woman, (1969),"$2,356","$2,356",,1 hr 28 min,,Drama;Romance
Woman of the Hour, (2023),"$836,057","$836,057",,1 hr 35 min,R,Crime;Drama;Mystery
Million Dollar Pigeons, (2022),"$1,325","$1,325",,1 hr 38 min,,Documentary
Do Not Disturb, (2014),"$9,382,573","$9,382,573",,1 hr 19 min,,Comedy
The Girl from Paris, (2001),"$183,266","$12,629,130",,1 hr 43 min,,Comedy;Drama
Love Story, (1970),"$106,550,690",,,1 hr 40 min,PG,Drama;Romance
"1974, une partie de campagne", (1974),"$17,831","$17,831",,1 hr 30 min,,Documentary
Una Visita Inesperada, (2021),"$2,635","$2,635",,1 hr 24 min,,Comedy
The Little Things, (2021),"$15,342,746","$15,500,000",,2 hr 8 min,R,Crime;Drama;Mystery;Thriller
High Stitches, (2007),"$97,182",,,1 hr 33 min,R,Horror;Mystery;Sci-Fi;Thriller
Easy Virtue, (2008),"$2,656,784","$15,807,009",,1 hr 37 min,PG-13,Comedy;Romance
Unexpected, (2015),"$23,986","$12,416",,1 hr 30 min,R,Comedy;Drama
Unfair: The Answer, (2011),"$29,166,054","$29,166,054",,1 hr 49 min,,Crime;Drama
Unfair: The Movie, (2007),"$21,914,005","$21,914,005",,1 hr 52 min,,Action;Crime;Drama
Unfaithfully Yours, (1984),"$19,928,200",,,1 hr 36 min,,Comedy;Music;Romance
Anukoni Athidhi, (2019),,,,2 hr 16 min,,Drama;Mystery;Romance;Thriller
Unfinished Sky, (2007),"$748,376","$748,376",,1 hr 34 min,,Drama;Romance
Unfinished Business, (2015),"$10,219,501","$4,211,752","$35,000,000",1 hr 31 min,R,Comedy;Drama
Unfinished Song, (2012),"$1,702,668","$7,464,197",,1 hr 30 min,PG-13,Comedy;Drama;Music;Romance
Unfolding Florence: The Many Lives of Florence Broadhurst, (2006),"$122,660","$122,660",,1 hr 22 min,,Documentary
Unforgettable, (2017),"$11,368,012","$6,400,000","$12,000,000",1 hr 40 min,R,Drama;Thriller
The Unforgivable, (2021),"$13,062","$13,062",,1 hr 52 min,,Crime;Drama;Mystery
Unforgiven, (1992),"$101,167,799","$58,000,000",,2 hr 10 min,R,Drama;Western
Unfriended, (2014),"$32,482,090","$30,400,000","$1,000,000",1 hr 23 min,R,Horror;Mystery;Thriller
Unfriended: Dark Web, (2018),"$8,866,745","$7,158,242","$1,000,000",1 hr 32 min,R,Horror;Mystery;Thriller
Unhinged, (2020),"$20,831,465","$23,500,000",,1 hr 30 min,R,Action;Thriller
The Unholy, (2021),"$15,532,137","$15,300,000",,1 hr 39 min,PG-13,Drama;Horror;Mystery;Thriller
Barcelona: A Love Untold, (2016),"$238,540","$238,540",,2 hr 12 min,,Drama;Romance
Holy Rollers, (2010),"$303,064","$441,202",,1 hr 29 min,R,Biography;Crime;Drama;History
Unholy Women, (2006),"$10,638","$10,638",,1 hr 47 min,,Drama;Horror;Mystery;Thriller
Unhook the Stars, (1996),"$272,542",,,1 hr 43 min,R,Drama;Romance
Unidentified, (2020),"$5,408","$5,408",,2 hr 3 min,,Action;Crime;Drama;Mystery;Thriller
Patton, (1970),"$61,749,765",,"$12,000,000",2 hr 52 min,PG,Biography;Drama;War
An Inhabited Volcano, (2023),"$3,440","$3,440",,1 hr 6 min,,Documentary
In America, (2002),"$15,539,656","$9,843,255",,1 hr 45 min,PG-13,Drama
The Uninvited, (2009),"$28,596,818","$13,036,566",,1 hr 27 min,PG-13,Drama;Fantasy;Horror;Mystery;Thriller
Uninvited Guest, (1999),"$170,832",,,1 hr 56 min,R,Drama;Thriller
Bring It On, (2000),"$68,379,000","$22,070,929","$11,000,000",1 hr 38 min,PG-13,Comedy;Romance;Sport
United Passions, (2014),$607,"$170,904",,1 hr 50 min,,Drama;History;Sport
United Red Army, (2007),"$2,659","$6,659",,3 hr 10 min,,Crime;Drama
The Fluffy Movie: Unity Through Laughter, (2014),"$2,827,393",,,1 hr 41 min,PG-13,Comedy;Documentary
The Search for Signs of Intelligent Life in the Universe, (1991),"$579,854",,,2 hr,,Comedy
Universal Soldier, (1992),"$36,299,898",,,1 hr 42 min,R,Action;Sci-Fi
Universal Soldier: The Return, (1999),"$10,667,893",,"$45,000,000",1 hr 23 min,R,Action;Sci-Fi
Universal Soldier: Day of Reckoning, (2012),"$5,460","$1,396,847",,1 hr 54 min,R,Action;Horror;Mystery;Sci-Fi;Thriller
Universal Soldier: Regeneration, (2009),"$844,447","$844,447",,1 hr 37 min,R,Action;Adventure;Sci-Fi
Universalove, (2008),"$71,554","$71,554",,1 hr 23 min,,Musical
Masters of the Universe, (2026),,,,,,Action;Adventure;Family;Fantasy;Sci-Fi
University of Laughs, (2004),"$5,733,651","$5,733,651",,2 hr 1 min,,Comedy;Drama
Unknown Pleasures, (2002),"$11,254","$44,647",,1 hr 52 min,,Comedy;Drama
Man of Steel, (2013),"$291,045,518","$379,100,000","$225,000,000",2 hr 23 min,PG-13,Action;Adventure;Sci-Fi
Preparations to Be Together for an Unknown Period of Time, (2020),"$117,368","$117,368",,1 hr 35 min,,Drama;Romance
Unknown White Male, (2005),"$126,836","$4,420",,1 hr 28 min,PG-13,Biography;Documentary
Beyond the Known World, (2017),"$35,690","$35,690",,1 hr 42 min,,Drama
Unlawful Entry, (1992),"$57,138,719",,,1 hr 51 min,R,Crime;Drama;Thriller
Unleashed, (2005),"$24,537,621","$26,333,492","$45,000,000",1 hr 43 min,R,Action;Crime;Thriller
The Meaning and Mystery of Life, (2023),"$1,005,607","$1,005,607",,2 hr 34 min,,Animation;Documentary;Drama;Fantasy
Unmade Beds, (2009),"$180,144","$180,144",,1 hr 37 min,,Comedy;Drama
An Unmarried Woman, (1978),,,,2 hr 4 min,,Comedy;Drama;Romance
Unmistaken Child, (2008),"$306,140","$63,602",,1 hr 42 min,,Documentary
Unna ja Nuuk, (2006),"$324,290","$324,290",,1 hr 18 min,,Adventure;Family;Fantasy
Radio Unnameable, (2012),"$24,090",,,1 hr 27 min,,Documentary
Unnatural & Accidental, (2006),"$5,420",,,1 hr 30 min,,Crime;Drama;Mystery
Unnatural History, (2015),"$44,485","$44,485",,,,
Red One, (2024),"$77,535,218","$73,100,000",,2 hr 3 min,PG-13,Action;Adventure;Comedy;Fantasy;Mystery
Notes on a Scandal, (2006),"$17,510,118","$32,304,274",,1 hr 32 min,R,Crime;Drama;Romance;Thriller
ÜnOfficially Yours, (2012),"$3,704,457","$3,704,457",,1 hr 46 min,,Comedy;Romance
Unplanned, (2019),"$19,005,109","$2,580,217","$6,000,000",1 hr 49 min,R,Biography;Drama
Unrelated, (2007),"$4,529","$154,463",,1 hr 40 min,,Drama
Unrest, (2017),"$40,081",,,1 hr 38 min,,Documentary;Drama;History;Romance
Unraveled, (2011),"$14,615",,,1 hr 24 min,,Documentary
Unsane, (2018),"$7,732,899","$6,560,702",,1 hr 38 min,R,Drama;Horror;Mystery;Thriller
Our Daily Bread, (2005),"$71,810","$71,810",,1 hr 32 min,,Documentary
Unstable Fables: 3 Pigs & a Baby, (2008),"$48,706","$48,706",,1 hr 16 min,PG,Animation;Comedy;Family
Unstoppable Marriage, (2007),"$8,274,007","$8,274,007",,1 hr 55 min,,Comedy
Unstrung Heroes, (1995),"$7,929,434",,,1 hr 33 min,PG,Comedy;Drama
Unsullied, (2014),"$510,957",,,1 hr 33 min,R,Action;Horror;Thriller
Unsung Hero, (2024),"$20,335,239","$879,092",,1 hr 53 min,PG,Drama;Family
Mission Control: The Unsung Heroes of Apollo, (2017),"$16,405",,,1 hr 41 min,,Documentary;History
The Untamed, (2016),"$27,593","$33,656",,1 hr 38 min,,Drama;Horror;Mystery;Romance;Sci-Fi;Thriller
Untamed Heart, (1993),"$18,898,806",,,1 hr 42 min,PG-13,Drama;Romance
Unthinkable, (2010),"$1,669,947","$1,669,947",,1 hr 37 min,R,Crime;Drama;Thriller
Until Death, (2007),"$212,921","$212,921",,1 hr 41 min,R,Crime;Drama;Thriller
Until Forever, (2016),"$141,197","$136,470",,1 hr 40 min,,Drama;Romance
Il resto di niente, (2004),"$156,252","$156,252",,1 hr 43 min,,Drama;History
Until September, (1984),"$4,239,154",,,1 hr 35 min,,Drama;Romance
Until the End of the World, (1991),"$829,625",,,4 hr 47 min,R,Action;Drama;Sci-Fi;Thriller
Until the Light Takes Us, (2008),"$130,441",,,1 hr 33 min,,Documentary;Music
Deadpool & Wolverine, (2024),"$636,745,858","$701,325,490",,2 hr 8 min,R,Action;Adventure;Comedy;Sci-Fi
Ratatouille, (2007),"$206,445,654","$417,280,431","$150,000,000",1 hr 51 min,G,Adventure;Animation;Comedy;Family;Fantasy
Into the Wild, (2007),"$18,354,356","$38,321,539",,2 hr 28 min,R,Adventure;Biography;Drama
Untold Scandal, (2003),"$63,332","$5,699,469",,2 hr 4 min,,Drama
The Untold Story, (2019),$790,,,1 hr 44 min,,Comedy;Drama
Unveiled, (2005),"$3,025",,,1 hr 37 min,,Drama
Unzipped, (1995),"$2,875,086",,,1 hr 13 min,R,Documentary
Coming Home in the Dark, (2021),"$77,658","$77,658",,1 hr 33 min,,Crime;Horror;Thriller
A Lone Tree, (2010),"$22,279","$22,279",,1 hr 41 min,,Drama
