Name,Year,Domestic,Foreign,Budget,Runtime,Rating,Genre
Sonic the Hedgehog, (2020),"$148,974,665","$170,741,018","$85,000,000",1 hr 39 min,PG,Action;Adventure;Comedy;Family;Fantasy;Sci-Fi
"Bravo, My Life!", (2005),"$2,637,288","$2,637,288",,1 hr 32 min,,Drama
Kilo Two Bravo, (2014),"$7,891","$26,126",,1 hr 48 min,R,Biography;Drama;Thriller;War
"Ruben Brandt, Collector", (2018),"$117,963","$470,030",,1 hr 36 min,R,Action;Animation;Crime;Drama;Thriller
Brazil, (1985),"$9,929,135","$20,818",,2 hr 12 min,R,Drama;Sci-Fi;Thriller
At War, (2018),"$4,605","$2,230,447",,1 hr 53 min,,Drama
Breach, (2007),"$33,231,264","$7,722,671",,1 hr 50 min,PG-13,Biography;Crime;Drama;History;Thriller
Bleach: Memories of Nobody, (2006),"$1,238,072","$1,238,072",,1 hr 27 min,,Action;Adventure;Animation;Fantasy
Promise of Pisa, (2019),"$297,388","$297,388",,1 hr 45 min,,Drama;Music;Romance
Bread & Roses, (2023),"$5,891","$5,891",,1 hr 30 min,,Documentary
Bread and Milk, (2001),"$3,349","$3,349",,1 hr 8 min,,Comedy;Drama
Bread and Tulips, (2000),"$5,318,679","$4,401,169",,1 hr 54 min,PG-13,Comedy;Romance
Bread of Happiness, (2012),"$1,659,800","$1,659,800",,1 hr 54 min,,Comedy;Drama
BanG Dream! FILM LIVE 2nd Stage, (2021),"$283,558","$283,558",,1 hr 25 min,,Animation;Comedy;Music
The Holdovers, (2023),"$20,355,375","$25,282,129",,2 hr 13 min,R,Comedy;Drama
Break Ke Baad, (2010),"$427,628","$3,527,071",,2 hr 25 min,,Comedy;Drama;Romance
Break of Hearts, (1935),,,,1 hr 18 min,,Drama;Romance
Where the Day Takes You, (1992),"$390,152",,,1 hr 45 min,R,Crime;Drama;Thriller
The Break-Up, (2006),"$118,703,275","$86,964,935","$52,000,000",1 hr 46 min,PG-13,Comedy;Drama;Romance
Break the Silence: The Movie, (2020),"$8,954,345","$8,954,345",,1 hr 29 min,,Documentary;Music
Break Through the Darkness, (2021),"$52,700,000","$52,700,000",,1 hr 52 min,,Drama
Break Through!, (2004),"$78,022","$78,022",,1 hr 58 min,,Action;Comedy;Drama;Romance
Break Up Club, (2010),"$1,327,201","$1,327,201",,1 hr 44 min,,Comedy;Drama;Romance
Breakin', (1984),"$38,682,707",,,1 hr 27 min,,Comedy;Drama;Music;Romance
True Romance, (1993),"$12,281,551","$807,299",,1 hr 59 min,R,Crime;Drama;Romance;Thriller
Breakdown, (1997),"$50,159,144",,"$36,000,000",1 hr 33 min,R,Crime;Drama;Mystery;Thriller
Breaker Morant, (1980),$948,,,1 hr 47 min,,Drama;History;War
Breakfast at Tiffany's, (1961),"$589,612","$589,612",,1 hr 55 min,,Comedy;Drama;Romance
A Taste of Hunger, (2021),"$5,860","$166,706",,1 hr 44 min,,Drama;Romance
Sniadanie do lózka, (2010),"$3,965,979","$3,965,979",,1 hr 25 min,,Comedy
Breakfast of Champions, (1999),"$178,278",,"$12,000,000",1 hr 50 min,R,Comedy
Breakfast on Pluto, (2005),"$828,699","$3,113,555",,2 hr 8 min,R,Comedy;Drama
Breakfast with Scot, (2007),"$46,060",,,1 hr 30 min,PG-13,Comedy;Drama;Music;Romance;Sport
Breakin' 2: Electric Boogaloo, (1984),"$15,101,131",,,1 hr 34 min,,Comedy;Drama;Musical
Breaking the Rules, (1992),"$52,285",,,1 hr 40 min,PG-13,Comedy;Drama
Breaking and Entering, (2006),"$930,469","$8,044,360",,2 hr,R,Crime;Drama;Romance
Breaking Away, (1979),"$16,424,918",,,1 hr 41 min,,Comedy;Drama;Sport
Breaking Glass, (1980),"$2,471",,,1 hr 44 min,,Drama;Musical
The Twilight Saga: Breaking Dawn - Part 1, (2011),"$281,287,133","$430,918,723","$110,000,000",1 hr 57 min,PG-13,Adventure;Drama;Fantasy;Romance;Thriller
Breaking In, (2018),"$46,840,590","$4,571,030","$6,000,000",1 hr 28 min,PG-13,Action;Thriller
Breaking News, (2004),"$1,051,419","$1,051,419",,1 hr 30 min,,Action;Crime;Drama
Breaking Out, (2021),"$9,243","$9,243",,1 hr 24 min,,Documentary
Breaking Point, (2023),"$66,767","$66,767",,1 hr 42 min,,Sport
Breaking the Waves, (1996),"$3,803,298","$27,884",,2 hr 39 min,R,Drama
The Breaking Ice, (2023),,,,1 hr 37 min,,Drama;Romance
The Silence, (2019),"$2,325,977","$2,325,977",,1 hr 30 min,PG-13,Drama;Horror;Sci-Fi;Thriller
Breaking Up, (1997),"$11,690",,,1 hr 30 min,R,Comedy;Drama;Romance
Breaking Upwards, (2009),"$77,389",,"$15,000",1 hr 28 min,,Romance
Trespass, (2011),"$24,094","$10,093,872",,1 hr 31 min,R,Crime;Drama;Mystery;Thriller
Breakthrough, (2019),"$40,713,082","$9,731,276","$14,000,000",1 hr 56 min,PG,Biography;Drama
Breakup Buddies, (2014),"$777,896","$188,239,700",,1 hr 56 min,,Comedy;Drama;Romance
Breath, (2017),"$37,108","$3,285,371",,1 hr 55 min,,Adventure;Drama;Romance;Sport
Breath Made Visible: Anna Halprin, (2009),"$52,387",,,1 hr 22 min,,Documentary
Breath of Life, (2018),"$523,262","$523,262",,1 hr 33 min,,Drama
Breathe In, (2013),"$89,661","$410,546",,1 hr 38 min,R,Drama;Romance
The Divine Move 2: The Wrathful, (2019),"$67,578","$15,575,413",,1 hr 46 min,,Action
Breathing, (2011),"$4,630","$802,806",,1 hr 34 min,,Drama
The Twilight Saga: Breaking Dawn - Part 2, (2012),"$292,324,737","$556,269,211","$120,000,000",1 hr 55 min,PG-13,Adventure;Drama;Fantasy;Romance
Breathing Room, (1996),"$16,299",,,1 hr 30 min,R,Comedy;Romance
Breathless, (1960),"$414,173","$158,303",,1 hr 30 min,,Crime;Drama
Boxcar Bertha, (1972),"$6,443","$6,443",,1 hr 28 min,,Crime;Drama;Romance
Spring Breakers, (2012),"$14,124,284","$17,891,843","$5,000,000",1 hr 34 min,R,Crime;Drama;Thriller
Breezy, (1973),"$17,753","$17,753",,1 hr 46 min,,Drama;Romance
The Bremen Town Musicians, (2024),"$34,596,570","$34,596,570",,1 hr 55 min,,Adventure;Comedy;Family;Fantasy
Brenda Starr, (1989),"$67,878",,,1 hr 33 min,,Adventure;Comedy;Romance
Il Principe di Roma, (2022),"$1,011,846","$1,011,846",,1 hr 32 min,,Comedy
Brewster's Millions, (1985),"$40,833,132","$5,000,000",,1 hr 42 min,,Comedy
Monty Python's Life of Brian, (1979),"$20,206,622","$565,280",,1 hr 34 min,,Comedy
The Brice Man, (2005),"$33,026,616","$33,026,616",,1 hr 38 min,,Comedy
Oz the Great and Powerful, (2013),"$234,911,825","$258,400,000","$215,000,000",2 hr 10 min,PG,Adventure;Family;Fantasy
Brick Lane, (2007),"$1,095,398","$2,700,792",,1 hr 42 min,PG-13,Drama
Brick Mansions, (2014),"$20,396,829","$51,019,901","$28,000,000",1 hr 30 min,PG-13,Action;Crime;Thriller
The Princess Bride, (1987),"$30,857,814","$45,055",,1 hr 38 min,,Adventure;Comedy;Family;Fantasy;Romance
Bride & Prejudice, (2004),"$6,605,592","$18,110,848","$7,000,000",2 hr 2 min,PG-13,Comedy;Drama;Musical;Romance
Bride Flight, (2008),"$501,360","$3,672,134",,2 hr 10 min,R,Drama;Romance
Everything Must Go, (2010),"$2,711,643","$108,847","$5,000,000",1 hr 37 min,R,Comedy;Drama
Bride of Chucky, (1998),"$32,400,658","$18,288,000","$25,000,000",1 hr 29 min,R,Comedy;Horror;Thriller
Bride of Frankenstein, (1935),"$10,493","$10,493",,1 hr 15 min,,Drama;Horror;Sci-Fi
Father of the Bride, (1991),"$89,325,780",,,1 hr 45 min,,Comedy;Family;Romance
Bride of the Monster, (1955),,,,1 hr 9 min,,Horror;Sci-Fi
Bride of the Wind, (2001),"$318,823",,,1 hr 39 min,R,Biography;Drama;Music;Romance
Bride Wars, (2009),"$58,715,510","$56,660,340","$30,000,000",1 hr 29 min,PG,Comedy;Romance
Brides, (2004),"$5,000,509","$5,000,509",,2 hr 8 min,,Drama;Romance
Brideshead Revisited, (2008),"$6,432,256","$7,018,930",,2 hr 14 min,PG-13,Drama;Romance
Aftermath, (2024),"$43,952","$43,952",,1 hr 37 min,,Action;Thriller
Bridge of Spies, (2015),"$72,313,754","$93,164,594","$40,000,000",2 hr 22 min,PG-13,Drama;History;Thriller;War
Bridge to Terabithia, (2007),"$82,272,442","$55,314,621",,1 hr 36 min,PG,Drama;Family;Fantasy
Journey to the Sun, (2021),"$13,244","$13,244",,1 hr 22 min,,Documentary;Drama;War
Bridget Jones's Baby, (2016),"$24,252,420","$187,700,000","$35,000,000",2 hr 3 min,R,Comedy;Drama;Romance
Brief Encounter, (1945),"$89,927","$89,927",,1 hr 26 min,,Drama;Romance
Brief Interviews with Hideous Men, (2009),"$33,745",,,1 hr 20 min,,Comedy;Drama
Trick or Treaters, (2007),"$5,878,372","$5,878,372",,1 hr 15 min,,Animation;Comedy;Crime;Family
Brigham City, (2001),"$852,206",,,1 hr 59 min,PG-13,Crime;Drama;Mystery
Bright Young Things, (2003),"$933,637","$1,971,862",,1 hr 42 min,R,Comedy;Drama;War
Bright Star, (2009),"$4,444,637","$9,930,015","$8,500,000",1 hr 59 min,PG,Biography;Drama;Romance
Butch and Sundance: The Early Days, (1979),"$5,136,913",,,1 hr 55 min,,Comedy;Western
Bright Angel, (1990),"$158,243",,,1 hr 33 min,,Drama;Thriller
Bright Days Ahead, (2013),"$21,770","$4,927,269",,1 hr 34 min,,Drama;Romance
Bright Future, (2002),"$5,166","$23,297",,1 hr 55 min,,Drama
Bright Leaves, (2003),"$77,888",,,1 hr 47 min,,Biography;Comedy;Documentary;Drama
"Bright Lights, Big City", (1988),"$16,118,077",,,1 hr 47 min,,Drama
Brightburn, (2019),"$17,300,439","$15,924,215","$6,000,000",1 hr 30 min,R,Drama;Horror;Mystery;Sci-Fi
Brighton Rock, (1948),"$49,466","$22,968",,1 hr 32 min,,Crime;Drama;Film-Noir
The Grand Duke of Corsica, (2021),,,,1 hr 33 min,,Comedy;Drama
The Diamond Arm, (1969),"$2,266","$2,266",,1 hr 34 min,,Adventure;Comedy;Crime
Bring Happiness Home, (2013),"$23,980,000","$23,980,000",,1 hr 24 min,PG,Adventure;Comedy;Family
Bring It On, (2000),"$68,379,000","$22,070,929","$11,000,000",1 hr 38 min,PG-13,Comedy;Romance;Sport
Bring Me the Head of Alfredo Garcia, (1974),"$18,894","$18,894",,1 hr 52 min,,Action;Crime;Drama;Thriller;Western
Bring on the Night, (1985),"$1,890,571",,,1 hr 37 min,,Documentary;Music
Bringing Out the Dead, (1999),"$16,797,191",,"$55,000,000",2 hr 1 min,R,Drama;Thriller
Don't Be a Menace to South Central While Drinking Your Juice in the Hood, (1996),"$20,109,115","$840,486",,1 hr 29 min,R,Comedy;Crime
Bringing Up Baby, (1938),"$11,180","$11,180",,1 hr 42 min,,Comedy
Bringing Up Bobby, (2011),"$4,975",,,1 hr 33 min,PG-13,Comedy
The Brink, (2019),"$106,057",,,1 hr 31 min,Not Rated,Documentary
The Great Train Robbery, (1978),"$13,027,857",,,1 hr 50 min,,Adventure;Crime;Drama;Thriller
Life in a Day, (2011),"$252,788","$354,381",,1 hr 35 min,PG-13,Documentary;Drama
Britannia Hospital, (1982),"$375,713",,,1 hr 56 min,,Comedy;Sci-Fi
Devil, (2023),"$38,077","$38,077",,2 hr 24 min,,Action;Drama;Thriller
Blitz, (2024),"$1,231,306","$1,231,306",,2 hr,PG-13,Action;Drama;History;War
Broadcast News, (1987),"$51,249,404","$16,081,905",,2 hr 13 min,,Comedy;Drama;Romance
Waiting for Guffman, (1996),"$2,923,982",,"$4,000,000",1 hr 24 min,R,Comedy
Broadway Danny Rose, (1984),"$10,600,497",,,1 hr 24 min,,Comedy
Love Is a Broadway Hit, (2017),"$2,022,609","$2,022,609",,1 hr 43 min,,Romance
ShowBusiness: The Road to Broadway, (2007),"$151,792",,,1 hr 42 min,PG,Documentary
I Like It Like That, (1994),"$1,760,527",,,1 hr 44 min,R,Comedy;Drama;Romance
"Broadway: The Golden Age, by the Legends Who Were There", (2003),"$353,580",,,1 hr 51 min,,Documentary;History;Music
Broken Sky, (2006),"$29,185","$131,260",,2 hr 20 min,,Drama;Romance
Drunk Parents, (2019),"$1,656,325","$1,656,325",,1 hr 37 min,R,Comedy
Brokedown Palace, (1999),"$10,115,013",,"$25,000,000",1 hr 40 min,PG-13,Drama;Mystery;Thriller
Broken City, (2013),"$19,701,164","$15,036,035","$35,000,000",1 hr 49 min,R,Crime;Drama;Mystery;Thriller
Broken Angel, (2008),"$157,382","$157,382",,2 hr,,Drama
Broken Arrow, (1996),"$70,770,147","$79,500,000",,1 hr 48 min,R,Action;Adventure;Thriller
Broken Bridges, (2006),"$252,539",,,1 hr 45 min,PG-13,Drama;Music
The Broken Circle Breakdown, (2012),"$175,058","$5,866,445",,1 hr 51 min,,Drama;Music;Romance
Broken Embraces, (2009),"$5,014,305","$32,458,431",,2 hr 7 min,R,Drama;Romance;Thriller
Broken English, (2007),"$956,919","$987,231",,1 hr 37 min,PG-13,Comedy;Drama;Romance
Broken Hill, (2009),"$54,058",,,1 hr 42 min,PG,Drama;Family;Music
Broken Horses, (2015),"$30,288","$30,288",,1 hr 41 min,R,Action;Crime;Drama;Mystery;Thriller
Broken Wings, (2002),"$421,454","$338,864",,1 hr 27 min,R,Drama
Broker, (2022),"$1,046,899","$17,804,517",,2 hr 9 min,R,Comedy;Crime;Drama
Romeo and Juliet, (1968),"$6,292","$6,292",,2 hr 18 min,PG,Drama;Romance
Bronco Billy, (1980),"$24,265,659",,,1 hr 56 min,,Action;Adventure;Comedy;Drama;Romance;Western
Bronco Bullfrog, (1970),"$13,171",,,1 hr 26 min,,Comedy;Drama
Bronson, (2008),"$104,979","$2,155,733",,1 hr 32 min,R,Action;Crime;Drama
Embrace: The Documentary, (2016),"$629,126","$526,137",,1 hr 30 min,,Documentary
Rosencrantz & Guildenstern Are Dead, (1990),"$739,104",,,1 hr 57 min,,Comedy;Drama
Brooklyn, (2015),"$38,322,743","$24,079,412",,1 hr 57 min,PG-13,Drama;Romance
Over the Brooklyn Bridge, (1984),"$837,914",,,1 hr 48 min,,Comedy;Romance
Brooklyn Castle, (2012),"$219,407",,,1 hr 41 min,PG,Documentary
Brooklyn Lobster, (2005),"$138,267",,,1 hr 34 min,R,Comedy;Drama
Brooklyn Rules, (2007),"$458,232",,"$8,000,000",1 hr 39 min,R,Crime;Drama
Last Exit to Brooklyn, (1989),"$1,730,005",,,1 hr 42 min,,Drama
"tick, tick... BOOM!", (2021),"$112,777","$112,777",,1 hr 55 min,PG-13,Biography;Comedy;Drama;Musical
Mr. Brooks, (2007),"$28,549,298","$19,894,436","$20,000,000",2 hr,R,Crime;Drama;Mystery;Thriller
Bros, (2022),"$11,628,165","$3,153,702",,1 hr 55 min,R,Comedy;Romance
You'll Get Over It, (2002),"$50,256",,,1 hr 26 min,,
Brothel Lights, (2011),"$121,196","$121,196",,1 hr 48 min,,Drama
Brother, (2024),"$31,920","$31,920",,2 hr 20 min,,Comedy;Family
Brat 2, (2000),"$591,795","$591,795",,2 hr 2 min,,Action;Crime;Drama;Thriller
Brother Bear, (2003),"$85,336,277","$165,061,521",,1 hr 25 min,,Adventure;Animation;Comedy;Drama;Family;Fantasy;Musical
Brooklyn Brothers Beat the Best, (2011),"$7,466",$744,,1 hr 38 min,,Comedy;Music
Brother of Sleep, (1995),"$97,848",,,2 hr 7 min,R,Drama;Music;Romance
"O Brother, Where Art Thou?", (2000),"$45,512,588","$26,358,141",,1 hr 47 min,PG-13,Comedy;Crime;Drama;Music
Three Men and a Baby, (1987),"$167,780,960",,"$11,000,000",1 hr 42 min,,Comedy;Drama;Family
Brother to Brother, (2004),"$80,906",,,1 hr 34 min,,Drama
Gleaming the Cube, (1989),"$2,777,280",,,1 hr 45 min,,Action;Drama;Mystery
Brother's Keeper, (2021),"$1,010","$1,010",,1 hr 25 min,,Drama
Don't Cry for Me England, (2018),"$54,695","$54,695",,1 hr 43 min,,Comedy;History;Sport
Tae Guk Gi: The Brotherhood of War, (2004),"$1,111,061","$80,286,127",,2 hr 20 min,R,Action;Drama;War
Brotherhood of Blades 2, (2017),"$14,204","$39,951,888",,2 hr,,Action;Adventure;Drama;History;Thriller
Brotherhood of the Wolf, (2001),"$11,274,610","$59,492,808","$29,000,000",2 hr 22 min,R,Action;Adventure;Drama;Horror;Thriller
Brotherly Love, (2015),"$478,595",,,1 hr 29 min,R,Drama
Brothers at War, (2009),"$153,148",,,1 hr 50 min,R,Documentary;War
Cuñados, (2024),"$115,758","$115,758",,1 hr 29 min,,Comedy
Brothers of the Head, (2005),"$45,082","$39,343",,1 hr 33 min,R,Drama;Music
Brothers of the Wind, (2015),"$3,685,708","$3,685,708",,1 hr 38 min,,Adventure;Drama;Family
Under the Skin, (2013),"$2,614,251","$4,880,136","$13,300,000",1 hr 48 min,R,Drama;Horror;Mystery;Sci-Fi;Thriller
Brothers, (2015),"$613,775","$19,081,835",,2 hr 36 min,,Action;Drama;Sport
By the Sea, (2015),"$538,460","$2,796,467","$10,000,000",2 hr 2 min,R,Drama;Romance
Evil Eye, (2022),"$1,914,948","$1,914,948",,1 hr 40 min,,Horror
The Ballad of Lefty Brown, (2017),"$7,856",,,1 hr 51 min,R,Action;Drama;Western
Get on Up, (2014),"$30,703,100","$2,745,871",,2 hr 19 min,PG-13,Biography;Drama;Music
Brown's Requiem, (1998),"$4,287",,,1 hr 44 min,R,Crime;Drama;Thriller
Brubaker, (1980),"$37,121,708",,,2 hr 11 min,R,Crime;Drama
Springsteen and I, (2013),"$74,906","$74,906",,2 hr 4 min,,Documentary
Dragon: The Bruce Lee Story, (1993),"$35,113,743","$28,400,000",,2 hr,PG-13,Action;Biography;Drama;Romance
"Bruce Lee, My Brother", (2010),"$3,447,642","$3,447,642",,2 hr 9 min,,Biography;Drama
Bruce Lee - The Fighter, (2015),"$6,806,042","$6,806,042",,2 hr 31 min,,Action;Comedy
An Alan Smithee Film: Burn Hollywood Burn, (1997),"$45,779","$14,142",,1 hr 26 min,R,Comedy
Bruiser, (2000),"$14,960","$14,960",,1 hr 39 min,R,Horror;Mystery
Confessions of a Brazilian Call Girl, (2011),"$12,380,488","$12,380,488",,2 hr 11 min,,Biography;Drama
The Call of the Wild, (2020),"$62,342,368","$48,824,301","$135,000,000",1 hr 40 min,PG,Adventure;Drama;Family
"Moi, Van Gogh", (2009),"$94,803","$94,803",,40 min,,Short
Dragged Across Concrete, (2018),"$660,132","$660,132",,2 hr 38 min,R,Action;Crime;Drama;Thriller
The Brutalist, (2024),,,,3 hr 35 min,,Drama
Brute Force, (1947),,,,1 hr 38 min,,Crime;Drama;Film-Noir;Thriller
"Ugly, Dirty and Bad", (1976),"$7,144",,,1 hr 55 min,,Comedy;Drama
PaPa Loves You, (2004),"$609,520","$609,520",,1 hr 39 min,,Comedy
After the Wedding, (2006),"$1,534,584","$10,098,139",,2 hr,R,Drama
The Wedding Photographer, (2009),"$4,176,333","$4,176,333",,1 hr 53 min,,Comedy;Drama;Romance
Brüno, (2009),"$60,054,530","$78,751,301",,1 hr 21 min,R,Comedy
BTS Permission to Dance on Stage - Seoul: Live Viewing, (2022),"$6,840,000","$25,760,000",,3 hr 15 min,,Documentary;Music
BTS: Yet to Come in Cinemas, (2023),"$8,093,270","$21,198,613",,1 hr 44 min,,Documentary;Music
Bubble Boy, (2001),"$5,007,898",,"$13,000,000",1 hr 24 min,PG-13,Adventure;Comedy;Romance;Sci-Fi
Bubba Ho-Tep, (2002),"$1,239,183",,,1 hr 32 min,R,Comedy;Fantasy;Horror;Mystery
Bubble, (2022),"$509,309","$509,309",,1 hr 40 min,,Action;Adventure;Animation;Drama;Fantasy;Romance;Sci-Fi;Sport
Bubble Fiction: Boom or Bust, (2007),"$6,746,800","$6,746,800",,1 hr 56 min,,Comedy;Sci-Fi
Beijing Bubbles, (2005),"$26,529","$26,529",,1 hr 20 min,,Documentary;Music
Buccaneer's Girl, (1950),,,,1 hr 17 min,,Action;Adventure;Romance
Ride Along, (2014),"$134,938,200","$19,530,702","$25,000,000",1 hr 39 min,PG-13,Action;Comedy;Crime
Uncle Buck, (1989),"$66,758,538","$12,500,000",,1 hr 40 min,,Comedy
Buck and the Preacher, (1972),"$2,762","$2,762",,1 hr 42 min,,Adventure;Drama;Western
Bugs Bunny Rides Again, (1948),"$14,753",,,7 min,,Animation;Comedy;Family;Short;Western
Come Back Home, (2022),"$368,860","$368,860",,1 hr 48 min,,Drama
Buck Rogers in the 25th Century, (1979),"$21,671,241",,,1 hr 29 min,,Action;Adventure;Sci-Fi
Bucky Larson: Born to Be a Star, (2011),"$2,529,395",$999,"$10,000,000",1 hr 37 min,R,Comedy
Budak Kelantan, (2008),"$205,648","$205,648",,1 hr 20 min,,Drama
Budda. Dzieciak '98, (2024),"$3,085,668","$3,085,668",,1 hr 23 min,,Documentary
Little Buddha, (1993),"$4,858,139","$27,253",,2 hr 3 min,PG,Drama
Buddha Collapsed Out of Shame, (2007),"$1,587,401","$1,587,401",,1 hr 21 min,,Drama;War
Buddha Mar Gaya, (2007),"$18,528","$1,265,962",,1 hr 33 min,,Comedy
Koi... Mil Gaya, (2003),"$671,372","$11,496,860",,2 hr 51 min,,Action;Drama;Fantasy;Romance;Sci-Fi
Buddha Mountain, (2010),"$10,673,606","$10,673,606",,1 hr 45 min,,Drama
Buddha's Lost Children, (2006),"$116,632","$116,632",,1 hr 37 min,,Documentary
Drinking Buddies, (2013),"$343,341","$58,573",,1 hr 30 min,R,Comedy;Drama;Romance
Buddies in India, (2017),"$293,194","$109,861,934",,1 hr 39 min,,Action;Comedy
Thicker Than Water, (1999),"$112,891",,,1 hr 31 min,R,Drama
Elf, (2003),"$178,053,220","$50,444,305","$33,000,000",1 hr 37 min,PG,Adventure;Comedy;Family;Fantasy;Romance
Billy and Buddy, (2013),$894,"$17,399,159",,1 hr 22 min,,Comedy;Family
Buddy Boy, (1999),"$12,597",,,1 hr 45 min,R,Drama;Thriller
Buddy Buddy, (1981),"$7,258,543",,,1 hr 36 min,,Comedy
Buddy Cops, (2016),"$4,622,802","$4,622,802",,1 hr 42 min,,Action;Comedy
Nowhere in Africa, (2001),"$6,180,200","$18,141,980",,2 hr 21 min,R,Biography;Drama;History
The Pleasures of Being Out of Step, (2013),"$13,137",,,1 hr 27 min,,Biography;Documentary;History;Music
The Bee Gees: How Can You Mend a Broken Heart, (2020),"$280,367","$280,367",,1 hr 51 min,,Biography;Documentary;Music
Buddy Games, (2019),"$405,904","$447,994",,1 hr 36 min,R,Comedy
The Lost World: Jurassic Park, (1997),"$229,086,679","$389,552,320","$73,000,000",2 hr 9 min,PG-13,Action;Adventure;Sci-Fi
