Name,Year,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
spanglish,2004,42726869.0,77.0,12743285.0,23.0,55470154.0
the punisher,2004,33810189.0,61.8,20889916.0,38.2,54700105.0
open water,2004,30610863.0,56.0,24072624.0,44.0,54683487.0
team america: world police,2004,32786074.0,64.5,18040824.0,35.5,50826898.0
you got served,2004,40363810.0,79.8,10212995.0,20.2,50576805.0
raising helen,2004,37486512.0,75.4,12232099.0,24.6,49718611.0
fat albert,2004,48116322.0,99.1,435000.0,0.9,48551322.0
be with you,2004,,,46616207.0,,46616207.0
napoleon dynamite,2004,44540956.0,96.6,1577141.0,3.4,46118097.0
the sea inside,2004,2104923.0,4.8,41580526.0,95.2,43685449.0
wimbledon,2004,17001133.0,40.8,24681104.0,59.2,41682237.0
twisted,2004,25198598.0,61.5,15756005.0,38.5,40954603.0
bad education,2004,5211842.0,12.9,35138995.0,87.1,40350837.0
crimson rivers 2: angels of the apocalypse,2004,152148.0,0.4,40000000.0,99.6,40152148.0
the prince and me,2004,28176497.0,74.8,9490269.0,25.2,37666766.0
garden state,2004,26782316.0,74.8,9043000.0,25.2,35825316.0
jersey girl,2004,25268157.0,71.2,10224764.0,28.8,35492921.0
alfie,2004,13399812.0,38.2,21661070.0,61.8,35060882.0
flight of the phoenix,2004,21009180.0,60.0,14012317.0,40.0,35021497.0
the life aquatic with steve zissou,2004,24020403.0,69.0,10788000.0,31.0,34808403.0
pokémon the movie: destiny deoxys,2004,,,34337258.0,,34337258.0
hotel rwanda,2004,23530892.0,69.4,10351351.0,30.6,33882243.0
confessions of a teenage drama queen,2004,29331068.0,88.2,3920822.0,11.8,33251890.0
night watch,2004,,,32396890.0,,32396890.0
johnson family vacation,2004,31203964.0,99.6,122219.0,0.4,31326183.0
the girl next door,2004,14589444.0,48.0,15792278.0,52.0,30381722.0
godsend,2004,14379751.0,47.7,15740920.0,52.3,30120671.0
shaun of the dead,2004,13542874.0,45.1,16496518.0,54.9,30039392.0
yu0gi0oh!: the movie 0 pyramid of light,2004,19765868.0,67.8,9378934.0,32.2,29144802.0
agent cody banks 2: destination london,2004,23630159.0,82.0,5188836.0,18.0,28818995.0
thunderbirds,2004,6880917.0,24.3,21402720.0,75.7,28283637.0
dirty dancing: havana nights,2004,14161590.0,51.2,13523426.0,48.8,27685016.0
ella enchanted,2004,22918387.0,83.7,4470380.0,16.3,27388767.0
doraemon: nobita in the wan0nyan spacetime odyssey,2004,,,26663978.0,,26663978.0
the whole ten yards,2004,16328471.0,62.4,9842200.0,37.6,26170671.0
the alamo,2004,22414961.0,86.8,3405000.0,13.2,25819961.0
seed of chucky,2004,17083732.0,68.8,7745912.0,31.2,24829644.0
bride & prejudice,2004,6605592.0,26.7,18110848.0,73.3,24716440.0
podium,2004,,,24511116.0,,24511116.0
harold & kumar go to white castle,2004,18250550.0,76.2,5686358.0,23.8,23936908.0
birth,2004,5095038.0,21.3,18830454.0,78.7,23925492.0
christmas in love,2004,,,22668087.0,,22668087.0
detective conan: magician of the silver sky,2004,,,22618511.0,,22618511.0
eurotrip,2004,17771387.0,78.6,4833766.0,21.4,22605153.0
quill: the life of a guide dog,2004,,,22298559.0,,22298559.0
nascar: the imax experience,2004,21583831.0,97.0,665000.0,3.0,22248831.0
little black book,2004,20698668.0,93.9,1336841.0,6.1,22035509.0
do you know claudia?,2004,,,21852972.0,,21852972.0
mr. 3000,2004,21811187.0,99.9,28190.0,0.1,21839377.0
wicker park,2004,13001257.0,60.3,8567561.0,39.7,21568818.0
win a date with tad hamilton!,2004,17071962.0,79.4,4441472.0,20.6,21513434.0
the merchant of venice,2004,3765585.0,17.6,17652140.0,82.4,21417725.0
new york minute,2004,14071441.0,66.1,7218385.0,33.9,21289826.0
mindhunters,2004,4480744.0,21.2,16668085.0,78.8,21148829.0
g.o.r.a.,2004,,,20839049.0,,20839049.0
super size me,2004,11536423.0,55.9,9109334.0,44.1,20645757.0
the 11 commandments,2004,,,20537839.0,,20537839.0
ladies in lavender,2004,6765081.0,33.2,13611994.0,66.8,20377075.0
melinda and melinda,2004,3826280.0,19.0,16303047.0,81.0,20129327.0
i heart huckabees,2004,12785432.0,63.7,7286740.0,36.3,20072172.0
2046,2004,1444588.0,7.4,18025651.0,92.6,19470239.0
vanity fair,2004,16136476.0,82.9,3326709.0,17.1,19463185.0
windstruck,2004,,,19225992.0,,19225992.0
the corsican file,2004,,,18922216.0,,18922216.0
swing girls,2004,,,18758613.0,,18758613.0
look at me,2004,1737308.0,9.3,16992443.0,90.7,18729751.0
de0lovely,2004,13456633.0,72.3,5155318.0,27.7,18611951.0
my baby's daddy,2004,17669317.0,95.6,821106.0,4.4,18490423.0
quai des illusions,2004,,,18291248.0,,18291248.0
kinsey,2004,10254979.0,60.1,6795038.0,39.9,17050017.0
catch that kid,2004,16703799.0,98.5,247903.0,1.5,16951702.0
paparazzi,2004,15714234.0,93.6,1082278.0,6.4,16796512.0
one missed call,2004,,,16367880.0,,16367880.0
"nin x nin: ninja hattori0kun, the movie",2004,,,16351134.0,,16351134.0
what the #*! do we (k)now!?,2004,10942306.0,68.4,5055872.0,31.6,15998178.0
before sunset,2004,5820649.0,36.7,10029110.0,63.3,15854307.0
lucky luke and the daltons,2004,,,15823762.0,,15823762.0
surviving christmas,2004,11663156.0,77.1,3462531.0,22.9,15125687.0
the last trapper,2004,,,14905929.0,,14905929.0
raise your voice,2004,10411980.0,70.0,4455534.0,30.0,14867514.0
soul plane,2004,14190750.0,95.7,631074.0,4.3,14821824.0
half a confession,2004,,,14638660.0,,14638660.0
welcome to mooseport,2004,14470947.0,99.0,144152.0,1.0,14615099.0
envy,2004,13562325.0,93.6,931711.0,6.4,14494036.0
being julia,2004,7739049.0,54.0,6600122.0,46.0,14339171.0
vizontele tuuba,2004,,,13954476.0,,13954476.0
french spies,2004,,,13844465.0,,13844465.0
der wixxer,2004,,,13607165.0,,13607165.0
one piece: the cursed holy sword,2004,,,13422333.0,,13422333.0
umizaru,2004,,,13361623.0,,13361623.0
rrrrrrr!!!,2004,54361.0,0.4,13260693.0,99.6,13315054.0
vera drake,2004,3775283.0,28.5,9492586.0,71.5,13267869.0
mariages!,2004,,,12991310.0,,12991310.0
maria full of grace,2004,6529624.0,51.8,6065006.0,48.2,12594630.0
breakin' all the rules,2004,12264319.0,97.8,279935.0,2.2,12544254.0
the clearing,2004,5763875.0,46.0,6756924.0,54.0,12520799.0
casshern,2004,,,12353768.0,,12353768.0
chasing liberty,2004,12195626.0,99.0,117697.0,1.0,12313323.0
don't move,2004,337265.0,2.8,11733742.0,97.2,12071007.0
kureyon shin0chan 2004 re0release,2004,,,12066375.0,,12066375.0
the cookout,2004,11814019.0,98.4,195051.0,1.6,12009070.0
layer cake,2004,2339957.0,19.7,9510257.0,80.3,11850214.0
suspect zero,2004,8725813.0,76.4,2690262.0,23.6,11416075.0
connie and carla,2004,8085771.0,71.3,3255245.0,28.7,11341016.0
naruto the movie: ninja clash in the land of snow,2004,,,11141307.0,,11141307.0
head0on,2004,435395.0,3.9,10595466.0,96.1,11030861.0
district b13,2004,1200216.0,10.9,9776676.0,89.1,10976892.0
the perfect score,2004,10391003.0,95.3,507334.0,4.7,10898337.0
harry potter and the goblet of fire,2005,290013036.0,32.4,605908000.0,67.6,895921036.0
star wars: episode iii 0 revenge of the sith,2005,380270577.0,43.8,488081953.0,56.2,868352530.0
"the chronicles of narnia: the lion, the witch and the wardrobe",2005,291710957.0,39.2,453302158.0,60.8,745013115.0
war of the worlds,2005,234280354.0,38.8,369592765.0,61.2,603873119.0
king kong,2005,218080025.0,39.2,338826353.0,60.8,556906378.0
madagascar,2005,193595521.0,35.7,348468325.0,64.3,542063846.0
mr. & mrs. smith,2005,186336279.0,38.2,300951367.0,61.8,487287646.0
charlie and the chocolate factory,2005,206459076.0,43.5,268509687.0,56.5,474968763.0
batman begins,2005,205343774.0,55.0,168100000.0,45.0,373443774.0
hitch,2005,179495555.0,48.3,192098655.0,51.7,371594210.0
fantastic four,2005,154696080.0,46.4,178839854.0,53.6,333535934.0
chicken little,2005,135386665.0,43.1,179046172.0,56.9,314432837.0
wedding crashers,2005,209255921.0,72.5,79211724.0,27.5,288467645.0
robots,2005,128200012.0,48.8,134311478.0,51.2,262511490.0
constantine,2005,75976178.0,32.9,154908550.0,67.1,230884728.0
flightplan,2005,89707299.0,40.2,133680000.0,59.8,223387299.0
kingdom of heaven,2005,47398413.0,21.7,170724214.0,78.3,218122627.0
fun with dick and jane,2005,110332737.0,53.9,94349162.0,46.1,204681899.0
the pacifier,2005,113086868.0,56.9,85550000.0,43.1,198636868.0
wallace & gromit: the curse of the were0rabbit,2005,56110897.0,29.1,136504080.0,70.9,192614977.0
the longest yard,2005,158119460.0,82.6,33347096.0,17.4,191466556.0
walk the line,2005,119519402.0,64.0,67278584.0,36.0,186797986.0
brokeback mountain,2005,83043761.0,46.6,95018998.0,53.4,178062759.0
the 400year0old virgin,2005,109449237.0,61.7,67929408.0,38.3,177378645.0
the ring two,2005,76231249.0,46.5,87764700.0,53.5,163995949.0
the island,2005,35818913.0,22.0,127130251.0,78.0,162949164.0
the interpreter,2005,72708161.0,44.6,90236762.0,55.4,162944923.0
memoirs of a geisha,2005,57490508.0,35.4,104752454.0,64.6,162242962.0
sin city,2005,74103820.0,46.7,84630000.0,53.3,158733820.0
monster0in0law,2005,82931301.0,53.3,72526026.0,46.7,155457327.0
saw ii,2005,87039965.0,58.9,60708540.0,41.1,147748505.0
the exorcism of emily rose,2005,75072454.0,51.7,70094350.0,48.3,145166804.0
herbie fully loaded,2005,66023816.0,45.8,78123000.0,54.2,144146816.0
the legend of zorro,2005,46464023.0,32.6,95936042.0,67.4,142400065.0
bewitched,2005,63313159.0,48.2,68113010.0,51.8,131426169.0
munich,2005,47403685.0,36.2,83578444.0,63.8,130982129.0
cheaper by the dozen 2,2005,82571173.0,63.4,47583395.0,36.6,130154568.0
march of the penguins,2005,77437223.0,60.8,49955470.0,39.2,127392693.0
nanny mcphee,2005,47144110.0,38.2,76132697.0,61.8,123276807.0
hide and seek,2005,51100486.0,41.5,72104434.0,58.5,123204920.0
pride & prejudice,2005,38405088.0,31.6,83211467.0,68.4,121616555.0
sahara,2005,68671925.0,57.6,50568426.0,42.4,119240351.0
corpse bride,2005,53359111.0,45.2,64731725.0,54.8,118090836.0
the dukes of hazzard,2005,80270227.0,72.3,30799288.0,27.7,111069515.0
hoodwinked!,2005,51386611.0,46.7,58626556.0,53.3,110013167.0
cinderella man,2005,61649911.0,56.8,46890000.0,43.2,108539911.0
the amityville horror,2005,65233369.0,60.7,42283000.0,39.3,107516369.0
the brothers grimm,2005,37916267.0,36.0,67400000.0,64.0,105316267.0
the hitchhiker's guide to the galaxy,2005,51085416.0,48.9,53393000.0,51.1,104478416.0
guess who,2005,68915888.0,66.8,34205578.0,33.2,103121466.0
just like heaven,2005,48318130.0,47.0,54536301.0,53.0,102854431.0
miss congeniality 2: armed & fabulous,2005,48478006.0,47.8,52915563.0,52.2,101393569.0
crash,2005,54580300.0,55.5,43829761.0,44.5,98410061.0
are we there yet?,2005,82674398.0,84.4,15244265.0,15.6,97918663.0
jarhead,2005,62658220.0,64.5,34417932.0,35.5,97076152.0
red eye,2005,57891803.0,60.1,38366398.0,39.9,96258201.0
be cool,2005,56046979.0,58.5,39716737.0,41.5,95763716.0
the skeleton key,2005,47907715.0,51.0,46076196.0,49.0,93983911.0
syriana,2005,50824620.0,54.1,43150000.0,45.9,93974620.0
the family stone,2005,60062868.0,64.7,32821561.0,35.3,92884429.0
four brothers,2005,74494381.0,80.6,17880293.0,19.4,92374674.0
white noise,2005,56386759.0,61.8,34809660.0,38.2,91196419.0
racing stripes,2005,49772522.0,54.8,40981953.0,45.2,90754475.0
transporter 2,2005,43095856.0,48.4,45987373.0,51.6,89083229.0
rumor has it...,2005,43000262.0,48.4,45933300.0,51.6,88933562.0
sky high,2005,63946815.0,74.0,22423000.0,26.0,86369815.0
match point,2005,23151529.0,27.0,62487127.0,73.0,85638656.0
in her shoes,2005,32880591.0,39.3,50816882.0,60.7,83697473.0
the constant gardener,2005,33579797.0,40.7,48886873.0,59.3,82466670.0
stealth,2005,32116746.0,40.5,47151576.0,59.5,79268322.0
hostage,2005,34639939.0,44.6,42968678.0,55.4,77608617.0
coach carter,2005,67264877.0,87.7,9404677.0,12.3,76669554.0
the king and the clown,2005,,,74466867.0,,74466867.0
"yours, mine & ours",2005,53412862.0,73.5,19250061.0,26.5,72662923.0
lord of war,2005,24149632.0,33.3,48467436.0,66.7,72617068.0
the adventures of sharkboy and lavagirl 30d,2005,39177684.0,54.4,32814971.0,45.6,71992655.0
xxx: state of the union,2005,26873932.0,37.6,44536704.0,62.4,71410636.0
house of wax,2005,32064800.0,46.6,36701321.0,53.4,68766121.0
prime,2005,22827153.0,33.6,45110341.0,66.4,67937494.0
boogeyman,2005,46752382.0,69.6,20440477.0,30.4,67192859.0
zathura: a space adventure,2005,29258869.0,45.0,35820235.0,55.0,65079236.0
valiant,2005,19478106.0,31.5,42268782.0,68.5,61746888.0
a history of violence,2005,31504633.0,51.3,29880432.0,48.7,61385065.0
son of the mask,2005,17018422.0,28.4,42963126.0,71.6,59981548.0
must love dogs,2005,43894863.0,75.4,14336657.0,24.6,58231520.0
doom,2005,28212337.0,48.6,29859782.0,51.4,58072119.0
derailed,2005,36024076.0,62.7,21455000.0,37.3,57479076.0
the descent,2005,26024456.0,45.6,31026597.0,54.4,57051053.0
elektra,2005,24409722.0,42.8,32585924.0,57.2,56995646.0
kicking & screaming,2005,52842724.0,94.2,3227709.0,5.8,56070433.0
"good night, and good luck.",2005,31558003.0,57.8,23083188.0,42.2,54641191.0
æon flux,2005,25874337.0,48.5,27447336.0,51.5,53321673.0
pooh's heffalump movie,2005,18098433.0,34.2,34760000.0,65.8,52858433.0
elizabethtown,2005,26850426.0,51.5,25313590.0,48.5,52164016.0
just friends,2005,32619671.0,64.1,18292763.0,35.9,50912434.0
unleashed,2005,24537621.0,48.2,26333492.0,51.8,50871113.0
diary of a mad black woman,2005,50633099.0,100.0,19104.0,0.1,50652203.0
fever pitch,2005,42071069.0,83.1,8534094.0,16.9,50605163.0
capote,2005,28750530.0,58.3,20576875.0,41.7,49327405.0
broken flowers,2005,13744960.0,29.0,33585001.0,71.0,47329961.0
the wedding date,2005,31726995.0,67.4,15369211.0,32.6,47096206.0
land of the dead,2005,20700082.0,44.0,26374051.0,56.0,47074133.0
get rich or die tryin',2005,30985352.0,66.5,15578609.0,33.5,46563961.0
the fog,2005,29550869.0,64.0,16650563.0,36.0,46201432.0
into the blue,2005,18801234.0,40.8,27316462.0,59.2,46117696.0
deuce bigalow: european gigolo,2005,22400154.0,49.7,22709407.0,50.3,45109561.0
dark water 2005 re0release,2005,25473352.0,57.4,18873727.0,42.6,44347079.0
a lot like love,2005,21845719.0,50.9,21041000.0,49.1,42886719.0
oliver twist,2005,2080321.0,4.9,40500000.0,95.1,42580321.0
the sisterhood of the traveling pants,2005,39053061.0,93.0,2960817.0,7.0,42013878.0
serenity,2005,25514517.0,63.1,14930612.0,36.9,40445129.0
the ringer,2005,35428675.0,87.6,5013768.0,12.4,40442443.0
magnificent desolation: walking on the moon,2005,34137524.0,84.6,6201878.0,15.4,40339402.0
yamato,2005,,,39287114.0,,39287114.0
dreamer,2005,32751093.0,84.5,5990639.0,15.5,38741732.0
always: sunset on third street,2005,,,38573583.0,,38573583.0
the producers,2005,19398532.0,50.9,18676786.0,49.1,38075318.0
casanova,2005,11304403.0,30.0,26387241.0,70.0,37691644.0
beauty shop,2005,36351350.0,97.6,894103.0,2.4,37245453.0
pokémon: lucario and the mystery of mew,2005,,,37228626.0,,37228626.0
negotiator: mashita masayoshi,2005,,,36733286.0,,36733286.0
assault on precinct 13,2005,20040895.0,56.8,15253575.0,43.2,35294470.0
nana,2005,,,34671042.0,,34671042.0
wild safari 0 a south african adventure,2005,16621530.0,48.5,17635605.0,51.5,34257135.0
bad news bears,2005,32868349.0,96.0,1384498.0,4.0,34252847.0
because of winn0dixie,2005,32647042.0,97.2,942385.0,2.8,33589427.0
the cave,2005,15007991.0,45.1,18288466.0,54.9,33296457.0
marathon,2005,,,33284089.0,,33284089.0
the brice man,2005,,,33026616.0,,33026616.0
cry wolf,2005,10047674.0,30.8,22538734.0,69.2,32586408.0
the suspect: muroi shinji,2005,,,32104229.0,,32104229.0
marrying the mafia 2: enemy0in0law,2005,,,31835989.0,,31835989.0
welcome to dongmakgol,2005,,,31787130.0,,31787130.0
rent,2005,29077547.0,91.8,2593073.0,8.2,31670620.0
the new world 2005 re0release,2005,12712093.0,40.3,18798762.0,59.7,31510855.0
train man,2005,,,31090100.0,,31090100.0
the promise,2005,669625.0,2.2,30256068.0,97.8,30925693.0
wolf creek,2005,16188180.0,52.6,14574468.0,47.4,30762648.0
two for the money,2005,22991379.0,75.3,7535130.0,24.7,30526509.0
cursed,2005,19297522.0,65.1,10324200.0,34.9,29621722.0
the upside of anger,2005,18761993.0,66.4,9475495.0,33.6,28237488.0
mrs. henderson presents,2005,11036366.0,39.6,16840051.0,60.4,27876417.0
ice princess,2005,24402491.0,88.3,3243000.0,11.7,27645491.0
goal! the dream begins,2005,4283255.0,15.5,23327618.0,84.5,27610873.0
the protector,2005,12044087.0,44.3,15121494.0,55.7,27165581.0
doogal,2005,7438000.0,27.8,19273924.0,72.2,26711924.0
typhoon,2005,139059.0,0.5,26040597.0,99.5,26179656.0
9th company,2005,,,26146165.0,,26146165.0
natale a miami,2005,,,25643184.0,,25643184.0
the tiger and the snow,2005,10167.0,0.1,25449856.0,100.0,25460023.0
north country,2005,18337722.0,72.7,6873453.0,27.3,25211175.0
april snow,2005,,,24873159.0,,24873159.0
i love you in every language in the world,2005,,,23941317.0,,23941317.0
lady vengeance,2005,211667.0,0.9,23622482.0,99.1,23834149.0
russian dolls,2005,326095.0,1.4,23401206.0,98.6,23727301.0
hustle & flow,2005,22202809.0,94.2,1360918.0,5.8,23563727.0
another public enemy,2005,,,23248003.0,,23248003.0
domino,2005,10169202.0,44.3,12775300.0,55.7,22944502.0
the white massai,2005,,,22632255.0,,22632255.0
manual of love,2005,,,22079820.0,,22079820.0
torrente 3: el protector,2005,,,21762391.0,,21762391.0
man of the house,2005,19699706.0,91.3,1877918.0,8.7,21577624.0
year one in the north,2005,,,21360942.0,,21360942.0
the jacket,2005,6303762.0,29.8,14822463.0,70.2,21126225.0
the devil's rejects,2005,17044981.0,81.5,3856878.0,18.5,20901859.0
a moment to remember,2005,,,20865847.0,,20865847.0
lorelei,2005,,,19806585.0,,19806585.0
the perfect man,2005,16535005.0,83.6,3235470.0,16.4,19770475.0
mapado,2005,,,19286223.0,,19286223.0
the weather man,2005,12482775.0,65.3,6643623.0,34.7,19126398.0
iznogoud0 caliph instead of the caliph,2005,,,18725588.0,,18725588.0
detective conan: strategy above the depths,2005,,,18723952.0,,18723952.0
waiting...,2005,16124543.0,86.5,2513147.0,13.5,18637690.0
an unfinished life,2005,8586392.0,46.1,10031892.0,53.9,18618284.0
my father and my son,2005,,,18612999.0,,18612999.0
keeping mum,2005,1619466.0,8.7,16956302.0,91.3,18575768.0
the turkish gambit,2005,,,18520000.0,,18520000.0
as it is in heaven,2005,,,18318233.0,,18318233.0
the world's fastest indian,2005,5128124.0,28.0,13169566.0,72.0,18297690.0
night watch 2005 re0release,2005,1502188.0,8.4,16437201.0,91.6,17939389.0
joyeux noel,2005,1054361.0,6.0,16654794.0,94.0,17709155.0
you are my sunshine,2005,,,17650142.0,,17650142.0
palais royal!,2005,,,17612135.0,,17612135.0
roll bounce,2005,17380866.0,99.3,120000.0,0.7,17500866.0
rebound,2005,16809014.0,96.1,683000.0,3.9,17492014.0
stormy night,2005,,,17379776.0,,17379776.0
the matador,2005,12594698.0,72.6,4752533.0,27.4,17347231.0
aegis,2005,,,16869261.0,,16869261.0
caché,2005,3647381.0,22.5,12550443.0,77.5,16197824.0
the great yokai war,2005,,,15787492.0,,15787492.0
kiss kiss bang bang,2005,4243756.0,26.9,11541392.0,73.1,15785148.0
the gospel,2005,15778152.0,100.0,0.0,0.0,15778152.0
two sons of francisco,2005,,,15508288.0,,15508288.0
the greatest game ever played,2005,15337393.0,99.4,93784.0,0.6,15431177.0
transamerica,2005,9015303.0,59.5,6136441.0,40.5,15151744.0
"murder, take one",2005,,,14915208.0,,14915208.0
most beautiful week in my life,2005,,,14765033.0,,14765033.0
samurai commando: mission 1549,2005,,,14648713.0,,14648713.0
blood rain,2005,,,14270938.0,,14270938.0
proof,2005,7535331.0,53.1,6654529.0,46.9,14189860.0
pirates of the caribbean: dead man's chest,2006,423315812.0,39.7,642863913.0,60.3,1066179725.0
the da vinci code,2006,217536138.0,28.6,542470807.0,71.4,760006945.0
ice age: the meltdown,2006,195330621.0,29.6,465668135.0,70.4,660998756.0
casino royale,2006,167445960.0,27.6,438553632.0,72.4,606000064.0
night at the museum,2006,250863268.0,43.7,323617573.0,56.3,574480841.0
cars,2006,244082982.0,52.8,217900167.0,47.2,461983149.0
x0men: the last stand,2006,234362462.0,50.9,226072829.0,49.1,460435291.0
mission: impossible iii,2006,134029801.0,33.6,264449696.0,66.4,398479497.0
superman returns,2006,200081192.0,51.2,191000000.0,48.8,391081192.0
happy feet,2006,198000317.0,51.5,186335291.0,48.5,384335608.0
over the hedge,2006,155019340.0,45.6,184776550.0,54.4,339795890.0
the devil wears prada,2006,124740460.0,38.2,201965442.0,61.8,326711975.0
the pursuit of happyness,2006,163566459.0,53.3,143561166.0,46.7,307127625.0
the departed,2006,132384315.0,45.4,159080719.0,54.6,291465034.0
borat,2006,128505958.0,48.9,134046935.0,51.1,262552893.0
eragon,2006,75030163.0,30.0,175395349.0,70.0,250425512.0
click,2006,137355633.0,57.1,103329693.0,42.9,240685326.0
the holiday,2006,63224849.0,30.7,142617036.0,69.3,205844805.0
the break0up,2006,118703275.0,57.7,86964935.0,42.3,205668210.0
open season,2006,85105259.0,42.4,115706430.0,57.6,200811689.0
inside man,2006,88513495.0,47.6,97490096.0,52.4,186003591.0
poseidon,2006,60674817.0,33.4,121000000.0,66.6,181674817.0
deja vu,2006,64038616.0,35.5,116518934.0,64.5,180557550.0
flushed away,2006,64665672.0,36.3,113615882.0,63.7,178281554.0
scary movie 4,2006,90710620.0,50.9,87552000.0,49.1,178262620.0
blood diamond,2006,57377916.0,33.4,114342482.0,66.6,171720398.0
saw iii,2006,80238724.0,48.7,84635551.0,51.3,164874275.0
the pink panther,2006,82226474.0,50.1,81889423.0,49.9,164115897.0
miami vice,2006,63450470.0,38.7,100344039.0,61.3,163794509.0
talladega nights: the ballad of ricky bobby,2006,148213377.0,90.7,15148718.0,9.3,163362095.0
world trade center,2006,70278893.0,43.1,92968305.0,56.9,163247198.0
the fast and the furious: tokyo drift,2006,62514415.0,39.3,96450195.0,60.7,158964610.0
rocky balboa,2006,70270943.0,45.1,85658077.0,54.9,155929020.0
dreamgirls,2006,103365956.0,66.5,52064379.0,33.5,155430335.0
charlotte's web,2006,82985708.0,55.7,65978114.0,44.3,148964090.0
garfield: a tail of two kitties,2006,28426747.0,19.8,114899223.0,80.2,143325970.0
monster house,2006,73661010.0,51.9,68200233.0,48.1,141861243.0
big momma's house 2,2006,70165972.0,49.6,71356989.0,50.4,141522961.0
babel,2006,34302837.0,25.3,101027345.0,74.7,135330182.0
perfume: the story of a murderer,2006,2223293.0,1.6,132816631.0,98.4,135039924.0
v for vendetta,2006,70511035.0,53.2,62000000.0,46.8,132511035.0
"you, me and dupree",2006,75628110.0,57.9,55000793.0,42.1,130628903.0
failure to launch,2006,88715192.0,68.1,41508966.0,31.9,130224158.0
the queen,2006,56441711.0,45.7,66942417.0,54.3,123384128.0
apocalypto,2006,50866635.0,42.2,69787702.0,57.8,120654337.0
eight below,2006,81612565.0,67.8,38843429.0,32.2,120455994.0
the omen,2006,54607383.0,45.5,65367589.0,54.5,119974972.0
final destination 3,2006,54098051.0,45.5,64792221.0,54.5,118890272.0
barnyard,2006,72637803.0,62.2,44117277.0,37.8,116755080.0
the lake house,2006,52330111.0,45.6,62500000.0,54.4,114830111.0
step up,2006,65328121.0,57.2,48866726.0,42.8,114194847.0
underworld: evolution,2006,62318875.0,55.9,49157638.0,44.1,111476513.0
the santa clause 3: the escape clause,2006,84500122.0,76.3,26268000.0,23.7,110768122.0
the prestige,2006,53089891.0,48.4,56586420.0,51.6,109676311.0
arthur and the invisibles,2006,15132763.0,14.0,92811473.0,86.0,107944236.0
little man,2006,58645052.0,56.4,45358270.0,43.6,104003322.0
the wild,2006,37384046.0,36.5,64954469.0,63.5,102338515.0
little miss sunshine,2006,59891098.0,59.3,41167856.0,40.7,101058954.0
silent hill,2006,46982632.0,46.7,53622503.0,53.3,100605135.0
the good shepherd,2006,59952835.0,59.8,40314030.0,40.2,100266865.0
nacho libre,2006,80197993.0,80.8,19057467.0,19.2,99255460.0
deep sea,2006,46412757.0,47.2,51818148.0,52.8,98230905.0
the guardian,2006,55011732.0,57.9,39961808.0,42.1,94973540.0
the host,2006,2201923.0,2.5,87229967.0,97.5,89431890.0
the illusionist,2006,39868642.0,45.4,48023746.0,54.6,87892388.0
rv,2006,71726025.0,81.9,15802148.0,18.1,87528173.0
the shaggy dog,2006,61123569.0,70.1,26010711.0,29.9,87134280.0
date movie,2006,48548426.0,56.6,37200608.0,43.4,85749034.0
volver,2006,12899867.0,15.1,72685310.0,84.9,85585177.0
jackass number two,2006,72778712.0,86.0,11866452.0,14.0,84645164.0
french fried vacation 3: friends forever,2006,,,84152064.0,,84152064.0
pan's labyrinth,2006,37634615.0,44.9,46215652.0,55.1,83850267.0
firewall,2006,48751189.0,58.9,34000000.0,41.1,82751189.0
hostel,2006,47326473.0,57.7,34653353.0,42.3,81979826.0
the sentinel,2006,36280697.0,46.0,42529898.0,54.0,78810595.0
curse of the golden flower,2006,6566773.0,8.4,72002204.0,91.6,78568977.0
the lives of others,2006,11286112.0,14.6,66070830.0,85.4,77356942.0
united 93,2006,31483450.0,41.0,45217209.0,59.0,76700659.0
lady in the water,2006,42285169.0,58.1,30500000.0,41.9,72785169.0
the grudge 2,2006,39143839.0,55.4,31567336.0,44.6,70711175.0
children of men,2006,35552383.0,50.5,34903387.0,49.5,70455770.0
the hills have eyes,2006,41778863.0,59.7,28230089.0,40.3,70008952.0
curious george,2006,58360760.0,83.5,11505164.0,16.5,69865924.0
john tucker must die,2006,41011711.0,59.6,27833064.0,40.4,68844775.0
letters from iwo jima,2006,13756082.0,20.0,54917146.0,80.0,68673228.0
tales from earthsea,2006,,,68625104.0,,68625104.0
fearless,2006,24633730.0,36.2,43439118.0,63.8,68072848.0
when a stranger calls,2006,47860214.0,71.4,19201909.0,28.6,67062123.0
take the lead,2006,34742066.0,52.2,31757561.0,47.8,66499627.0
flags of our fathers,2006,33602376.0,51.0,32297873.0,49.0,65900249.0
16 blocks,2006,36895141.0,56.2,28769580.0,43.8,65664721.0
the benchwarmers,2006,59843754.0,92.1,5118875.0,7.9,64962629.0
madea's family reunion,2006,63318000.0,99.9,50939.0,0.1,63368939.0
snakes on a plane,2006,34020814.0,54.9,28001200.0,45.1,62022014.0
my super ex0girlfriend,2006,22530295.0,36.9,38578686.0,63.1,61108981.0
marie antoinette,2006,15962471.0,26.2,44954718.0,73.8,60917189.0
limit of love: umizaru,2006,,,60369589.0,,60369589.0
invincible,2006,57806952.0,98.8,673876.0,1.2,58480828.0
she's the man,2006,33741133.0,59.0,23453534.0,41.0,57194667.0
lucky number slevin,2006,22495466.0,40.0,33813415.0,60.0,56308881.0
the ant bully,2006,28142535.0,51.0,27038594.0,49.0,55181129.0
