Name,Year,Domestic,Foreign
Swift, (2019),"$4,377,358","$4,377,358"
Man of Steel, (2013),"$291,045,518","$379,100,000"
Birds of Prey, (2020),"$84,172,791","$121,200,000"
Bitter Harvest, (2017),"$557,241","$347,158"
Bitter/Sweet, (2009),"$19,727","$19,727"
The Birth of a Nation, (2016),"$15,861,566","$917,646"
Blank 13, (2017),"$34,721","$34,721"
Black Dog, (2024),"$61,769","$61,769"
Black Gold, (2006),"$93,477","$133,628"
Black Death, (2010),"$22,554","$360,325"
Black Dynamite, (2009),"$242,578","$53,979"
Black Narcissus, (1947),"$166,391","$166,391"
Day of the Falcon, (2011),"$5,452,142","$5,452,142"
Yes or No: Come Back to Me, (2012),"$843,210","$843,210"
Meet Joe Black, (1998),"$44,619,100","$98,321,000"
Black Water, (2007),"$1,271,556","$1,271,556"
This Means War, (2012),"$54,760,791","$101,730,488"
Blackball, (2003),"$48,000","$1,175,155"
Anacondas: The Hunt for the Blood Orchid, (2004),"$32,238,923","$38,753,975"
Blackbird Blackbird Blackberry, (2023),"$31,725","$31,725"
Dragoste Pe Muchie De Cutit, (2023),"$62,787","$62,787"
This House, (2022),"$1,096","$1,096"
Blessed, (2009),"$237,752","$237,752"
Blindsone, (2018),"$241,031","$241,031"
Blind Man's Bluff, (2005),"$4,180,000","$4,180,000"
Blithe Spirit, (1945),$169,$169
Bling, (2016),"$1,404,291","$1,404,291"
Blindsight, (2006),"$89,169","$277,078"
Blinded by the Light, (2019),"$11,901,145","$6,700,000"
7 Guardians of the Tomb, (2018),"$7,910,928","$7,910,928"
Blood Money, (2012),"$86,956","$86,956"
Bloody Oranges, (2021),"$230,157","$230,157"
Flight, (2012),"$93,772,375","$68,000,000"
Blood and Chocolate, (2007),"$3,526,847","$2,813,876"
Bloody Tie, (2006),"$10,568,883","$10,568,883"
Blood: The Last Vampire, (2009),"$257,412","$5,617,118"
Blood Ties, (2013),"$42,472","$2,523,963"
Murders At The House Of Death, (2020),"$19,505","$19,505"
The Malay Chronicles: Bloodlines, (2011),"$12,211","$12,211"
Blow Dry, (2001),"$637,769","$192,517"
Ice Dragon: Legend of the Blue Daisies, (2018),"$20,549","$3,760"
Blow-Up, (1966),"$37,964","$37,964"
Thomas & Friends: Blue Mountain Mystery, (2012),"$292,441","$292,441"
The Blue Star, (2023),"$589,358","$589,358"
Blue Bloods, (2010),"$17,678","$17,678"
Renegade, (2004),"$6,482,919","$6,482,919"
Thor: Legend of the Magical Hammer, (2011),"$7,600,557","$7,600,557"
Bobby Fischer Against the World, (2011),"$90,511","$90,511"
Bob the Butler, (2005),"$51,401","$51,401"
Body Language, (2011),"$1,512,427","$1,512,427"
Bollywood Queen, (2002),"$48,830","$48,830"
Ernst & Bobbie en 'Het geheim van de Monta Rossa', (2010),"$614,591","$614,591"
Bon Voyage, (2003),"$2,503,286","$6,821,645"
Boogie Woogie, (2009),"$2,618","$45,793"
Kaboom, (2010),"$118,919","$516,243"
Kinky Boots, (2005),"$1,822,428","$8,127,705"
Bordertown, (2007),"$8,332,427","$8,332,427"
Book of Blood, (2009),"$567,723","$567,723"
Born Romantic, (2000),"$15,545","$360,545"
Sicario, (2015),"$46,889,293","$38,108,153"
Darkness of Man, (2024),"$17,324","$17,324"
Bucky Larson: Born to Be a Star, (2011),"$2,529,395",$999
Boy A, (2007),"$113,662","$1,088,713"
Boy Eats Girl, (2005),"$130,051","$130,051"
Brown Boys, (2019),"$46,090","$46,090"
Bicycle Boy, (2015),"$1,546,402","$1,546,402"
The Backwoods, (2006),"$123,913","$123,913"
Boyfriends and Girlfriends, (1987),"$823,243","$1,101"
Boys Will Be Boys, (2016),"$574,527","$574,527"
Brassed Off, (1996),"$2,576,331","$11,375"
Bread & Roses, (2023),"$1,541","$1,541"
Kilo Two Bravo, (2014),"$7,891","$26,126"
Brazil, (1985),"$9,929,135","$20,818"
Breaking and Entering, (2006),"$930,469","$8,044,360"
Breakfast on Pluto, (2005),"$828,699","$3,113,555"
Break the Silence: The Movie, (2020),"$8,954,345","$8,954,345"
Brick Lane, (2007),"$1,095,398","$2,700,792"
True Romance, (1993),"$12,281,551","$807,299"
Brewster's Millions, (1985),"$40,833,132","$5,000,000"
Trespass, (2011),"$24,094","$10,093,872"
Breath of Life, (2018),"$523,262","$523,262"
Brief Encounter, (1945),"$89,927","$89,927"
Bride & Prejudice, (2004),"$6,605,592","$18,110,848"
Brideshead Revisited, (2008),"$6,432,256","$7,018,930"
Bright Star, (2009),"$4,444,637","$9,930,015"
Bright Young Things, (2003),"$933,637","$1,971,862"
The Break-Up, (2006),"$118,703,275","$86,964,935"
Brighton Rock, (1948),"$49,466","$22,968"
Bring Me the Head of Alfredo Garcia, (1974),"$18,894","$18,894"
Blitz, (2024),"$583,760","$583,760"
Life in a Day, (2011),"$252,788","$354,381"
Cuñados, (2024),"$115,758","$115,758"
Bronson, (2008),"$104,979","$2,155,733"
Brother, (2024),"$31,920","$31,920"
Buena Vista Social Club, (1999),"$7,002,182","$16,139,909"
Brothers of the Head, (2005),"$45,082","$39,343"
Dragon: The Bruce Lee Story, (1993),"$35,113,743","$28,400,000"
Bugsy Malone, (1976),"$2,783,840","$54,814"
Buffalo Soldiers, (2001),"$354,421","$1,946,263"
Get on Up, (2014),"$30,703,100","$2,745,871"
The Builders of the Alhambra, (2022),"$83,162","$83,162"
The House That Jack Built, (2018),"$258,106","$2,823,807"
Bullet Boy, (2004),"$572,990","$572,990"
Killshot, (2008),"$18,643","$2,943,004"
Amazon Bullseye, (2024),"$3,374,426","$3,374,426"
Bunny and the Bull, (2009),"$81,010","$81,010"
Burke and Hare, (2010),"$4,833","$4,786,766"
Burma VJ: Reporting from a Closed Country, (2008),"$51,672","$75,391"
Bullet to the Head, (2012),"$9,489,829","$12,457,380"
Byzantium, (2012),"$89,237","$739,047"
Bye Bye Blackbird, (2008),"$2,171","$2,171"
Asterix & Obelix: Mission Cleopatra, (2002),"$3,115,188","$128,000,858"
Shattered, (2007),"$7,651,640","$7,651,640"
The Butler, (2013),"$116,632,095","$60,681,700"
xXx: Return of Xander Cage, (2017),"$44,898,413","$301,219,864"
Hedwig and the Angry Inch, (2001),"$3,082,286","$577,795"
Calendar Girls, (2003),"$31,041,759","$62,359,000"
The Hunger Games: The Ballad of Songbirds & Snakes, (2023),"$166,350,594","$182,549,425"
All Stars, (2013),"$5,749,245","$5,749,245"
Callas Forever, (2002),"$446,955","$5,485,548"
The Call of the Wild, (2020),"$62,342,368","$48,824,301"
Capricorn One, (1977),$402,$402
Starship Troopers, (1997),"$54,814,377","$66,400,000"
Captive, (2015),"$2,583,301","$218,207"
Karwaan, (2018),"$182,009","$354,516"
Caravaggio, (1986),"$3,774","$1,704"
The Captive, (2014),"$1,075,178","$1,021,034"
Field of Dreams, (1989),"$64,431,625","$20,000,000"
Superman, (1978),"$134,478,449","$166,000,000"
Cargo, (2017),"$56,385","$56,385"
A Dirty Carnival, (2006),"$10,371,998","$10,371,998"
Carmen, (2022),"$103,388","$280,608"
Carry on Jatta, (2012),"$648,911","$648,911"
London Has Fallen, (2016),"$62,524,260","$143,230,187"
Cassandra's Dream, (2007),"$973,018","$21,714,621"
Cashback, (2006),"$25,343","$2,268,948"
Touch of Evil, (1958),"$2,247,465","$37,598"
Catacombs, (2007),"$2,455,422","$2,455,422"
Castaway on the Moon, (2009),"$3,732,224","$3,732,224"
The Catholic School, (2021),"$1,759,031","$1,759,031"
Cass, (2008),"$241,369","$241,369"
Cave of Forgotten Dreams, (2010),"$5,304,920","$2,878,427"
Catch Me If You Can, (2002),"$164,615,351","$187,498,961"
Up in the Air, (2009),"$83,823,381","$83,019,358"
Catch a Fire, (2006),"$4,299,773","$1,410,463"
Centurion, (2010),"$123,570","$6,766,862"
The Scarlet Empress, (1934),"$3,353","$3,353"
Cemetery Junction, (2010),"$2,328,877","$2,328,877"
Cats, (2019),"$27,166,770","$48,392,155"
Chalet Girl, (2011),"$1,710","$5,466,940"
A Series of Unfortunate Events, (2004),"$118,634,549","$92,833,686"
Carlitos and the Chance of a Lifetime, (2008),"$2,064,565","$2,064,565"
Chariots of Fire, (1981),"$58,972,904","$344,064"
Chaos, (2005),"$7,000,248","$7,000,248"
Charlotte Gray, (2001),"$741,394","$4,581,715"
The Deer Hunter, (1978),"$48,979,328","$95,051"
Chatroom, (2010),"$683,912","$683,912"
One Eye Red, (2007),"$1,040,529","$1,040,529"
Checkpoint Rock: Songs from Palestine, (2009),"$5,430","$5,430"
Checkmate, (2024),"$82,183","$82,183"
The Fure Fure Girl, (2008),"$648,770","$648,770"
Cheerful Weather for the Wedding, (2012),"$2,651","$168,271"
Chemical Wedding, (2008),"$9,439","$9,439"
Chéri, (2009),"$2,715,657","$6,652,585"
Free Land, (2007),"$419,938","$419,938"
Yaadein..., (2001),"$1,000,229","$93,590"
Goat Story 2: with Cheese, (2012),"$837,373","$837,373"
Miller's Girl, (2024),"$1,714,512","$1,714,512"
Chico & Rita, (2009),"$350,524","$1,997,395"
Cherrybomb, (2009),"$30,143","$30,143"
Wild Wild West, (1999),"$113,804,681","$108,300,000"
Chitty Chitty Bang Bang, (1968),"$7,500,000",$453
Queen of the Damned, (2002),"$30,336,800","$15,142,310"
Children of Men, (2006),"$35,552,383","$35,043,081"
Mimi & Líza: Christmas Lights Mystery, (2018),"$28,049","$28,049"
"The Dog, the General, and the Birds", (2003),"$240,852","$240,852"
Christmas Carol: The Movie, (2001),"$266,475","$266,475"
Chromophobia, (2005),"$489,046","$489,046"
Churchill: The Hollywood Years, (2004),"$529,546","$529,546"
Cirkus Columbia, (2010),"$3,457","$169,626"
Little Shop of Horrors, (1986),"$39,032,001",$785
Civic Duty, (2006),"$95,953","$12,234"
City of God, (2002),"$7,564,459","$23,116,334"
Les aristos, (2006),"$6,338,890","$6,338,890"
Shaun of the Dead, (2004),"$14,332,569","$17,174,928"
Cleanskin, (2012),"$79,664","$79,664"
City Rats, (2009),$932,$932
Cloudburst, (2011),"$15,151","$15,151"
Clubbed, (2008),"$102,715","$102,715"
Closing the Ring, (2007),"$1,449,091","$1,449,091"
The New World, (2005),"$12,712,093","$36,622,682"
Coco Before Chanel, (2009),"$6,113,834","$44,699,100"
Code 46, (2003),"$285,585","$600,433"
Coffin Rock, (2009),"$9,078","$9,078"
Cold Creek Manor, (2003),"$21,386,011","$7,733,423"
Color Me Kubrick, (2005),"$71,190","$425,819"
Come Play with Me, (2021),"$1,755,928","$1,755,928"
Comes a Bright Day, (2012),"$1,142","$1,142"
The Cold Light of Day, (2012),"$3,763,583","$13,100,000"
C'mon C'mon, (2021),"$1,863,674","$2,635,721"
Take the Lead, (2006),"$34,742,066","$31,758,024"
Comedown, (2012),"$39,624","$39,624"
The Complexity of Happiness, (2015),"$851,896","$851,896"
Partners in Crime, (2022),"$4,494","$4,494"
Dear Comrade, (2019),"$164,714","$164,714"
Reds, (1981),"$40,382,659",$129
Concert for George, (2003),"$134,600","$28,502"
Confession of a Child of the Century, (2012),$74,"$146,081"
Consequences, (2018),"$20,056","$20,056"
Confetti, (2006),"$228,498","$4,674,633"
The Silence of the Lambs, (1991),"$130,742,922","$142,000,000"
The Conspirator, (2010),"$11,538,204","$4,087,340"
Confessions of a Shopaholic, (2009),"$44,277,350","$64,116,739"
Le Plaisir, (1952),"$2,097","$2,097"
Unlocked, (2017),"$4,699,125","$4,699,125"
Conversations with Other Women, (2005),"$379,418","$603,396"
Coriolanus, (2011),"$757,195","$1,678,130"
Copenhagen Does Not Exist, (2023),"$37,612","$37,612"
To Let, (2019),"$6,155","$6,155"
The Corridors of Power, (2022),"$1,346","$1,346"
City State, (2011),"$162,562","$162,562"
Out of Africa, (1985),"$87,071,205","$140,443,000"
Live and Let Die, (1973),"$35,377,836","$4,874"
John Wick, (2014),"$43,037,835","$43,047,304"
The Crypt of Count Dracoola, (2011),"$1,116,184","$1,116,184"
The Killer, (2022),"$134,716","$385,121"
Cowboys and Angels, (2000),"$33,941","$34,627"
Dance Craze, (1981),"$97,249","$97,249"
Cracks, (2009),"$29,683","$72,177"
Creation, (2009),"$341,323","$1,717,352"
Sorcerer, (1977),"$7,512","$7,512"
Kuttavum Shikshayum, (2022),"$12,833","$12,833"
