,Name,Year,Countries,Genres,Budget(USD),Domestic(USD),Domestic_Percentage,Foreign(USD),Foreign_Percentage,Worldwide(USD),Runtime(mins),Rating,Audience_Score,Critics_Score,plot_summary,release_date
1776,little children,2006,united states of america,"romance film, marriage drama, drama",14000000,5463019,0.3685835282395532,9358639,0.6314164717604468,14821658,137,r,82%,80%,"Sarah (Kate Winslet) is a well-educated woman who cannot come to terms with her life as a housewife and mother. Brad (Patrick Wilson), a stay-at-home dad, is married to a beautiful filmmaker (Jennifer Connelly) and goes skateboarding instead of studying for the bar exam. The pair meet at a playground and soon begin having secret trysts while their children nap and their spouses are at work.
            ","Oct 6, 2006, Limited"
1777,little fockers,2010,united states of america,"screwball comedy, comedy",100000000,148438600,0.4778313873125331,162211985,0.5221686126874668,310650585,98,pg-13,34%,9%,"After 10 years of marriage and two children, it seems that Greg Focker (Ben Stiller) has finally earned a place in the ""circle of trust"" of his uptight father-in-law, Jack (Robert De Niro). However, Greg is moonlighting with a drug company, which raises Jack's suspicions. As two clans descend on the scene of the young twins' birthday party, Greg must find a way through myriad misunderstandings to prove to Jack -- once and for all -- that he is worthy of being the next family patriarch.
            ","Dec 22, 2010, Wide"
1778,little man,2006,"united states of america, canada","crime fiction, comedy, slapstick",64000000,58645052,0.5638767192455642,45358270,0.4361232807544359,104003322,98,pg-13,55%,12%,"Posing as an abandoned toddler, a very small fugitive (Marlon Wayans) from the law tricks a couple (Shawn Wayans, Kerry Washington) into taking him in. Once there, the baby-faced thief endures the other man's attempts at fatherhood while waiting for a chance to take back the stolen gem he hid in the wife's purse.
            ","Jul 14, 2006, Wide"
1779,little miss sunshine,2006,united states of america,"lgbt, ensemble film, adventure, road movie, comedy-drama, drama, comedy, domestic comedy, indie",8000000,59891098,0.5926352453638101,41167856,0.4073647546361899,101058954,101,r,91%,91%,"The Hoover family -- a man (Greg Kinnear), his wife (Toni Collette), an uncle (Steve Carell), a brother (Paul Dano) and a grandfather (Alan Arkin) -- puts the fun back in dysfunctional by piling into a VW bus and heading to California to support a daughter (Abigail Breslin) in her bid to win the Little Miss Sunshine Contest. The sanity of everyone involved is stretched to the limit as the group's quirks cause epic problems as they travel along their interstate route.
            ","Jan 20, 2006, Original"
1780,little nicky,2000,united states of america,"romantic comedy, romance film, fantasy, comedy, slapstick",80000000,39464775,0.6770152899281114,18827520,0.3229847100718885,58292295,90,pg-13,55%,22%,"In a perfect world, he'd be happy to head-bang in his room all day to heavy metal music. But no, his mom is an angel, his old man is the devil, and like all good fathers, he insists that Nicky get involved in the family business. Nicky could think of 666 things he'd rather be doing than corrupting souls or spewing evil, but when his father's command over Hades is threatened by his bullying older brothers, it's up to unbalanced Nicky to restore the balance between Good and Evil on earth.
            ","Nov 10, 2000, Wide"
1781,little shop of horrors,1986,united states of america,"parody, science fiction, horror, musical, comedy, black comedy, romance film",30000000,39032001,0.9999798887017698,785,2.011129823015964e-05,39032786,94,pg-13,79%,91%,"Meek flower shop assistant Seymour (Rick Moranis) pines for co-worker Audrey (Ellen Greene). During a total eclipse, he discovers an unusual plant he names Audrey II, which feeds only on human flesh and blood. The growing plant attracts a great deal of business for the previously struggling store. After Seymour feeds Audrey's boyfriend, Orin (Steve Martin), to the plant after Orin's accidental death, he must come up with more bodies for the increasingly bloodthirsty plant.
            ","Dec 19, 1986, Original"
1782,little voice,1998,united kingdom,"indie, family drama, musical, drama, comedy, film adaptation",6000000,4611784,0.2115107505190442,17192233,0.7884892494809558,21804017,97,r,74%,80%,"A London talent agent learns that his girlfriend's repressed daughter, Briton, knows how to mimick singers.
            ","Dec 4, 1998, Wide"
1783,little women,2019,united states of america,"drama, romance",40000000,108101214,0.4939655158823552,110742431,0.5060344841176448,218843645,135,pg,92%,95%,"In the years after the Civil War, Jo March lives in New York and makes her living as a writer, while her sister Amy studies painting in Paris. Amy has a chance encounter with Theodore, a childhood crush who proposed to Jo but was ultimately rejected. Their oldest sibling, Meg, is married to a schoolteacher, while shy sister Beth develops a devastating illness that brings the family back together.
            ","Dec 25, 2019, Wide"
1784,live and let die,1973,united kingdom,action,7000000,35400000,0.2187886279357231,126400000,0.7812113720642769,161800000,121,pg,64%,67%,"When Bond (Roger Moore) investigates the murders of three fellow agents, he finds himself a target, evading vicious assassins as he closes in on powerful Kananga (Yaphet Kotto). Known on the streets as Mr. Big, Kananga is coordinating a global threat, using tons of self-produced heroin. As Bond tries to unravel the mastermind's plan, he meets Solitaire (Jane Seymour), a beautiful tarot-card reader, whose magic is crucial to the crime lord.
            ","Jun 27, 1973, Wide"
1785,live by night,2016,united states of america,"crime, drama, thriller",65000000,10378555,0.4556283311210917,12400000,0.5443716688789082,22778555,129,r,42%,35%,"It's the Roaring `20s and Prohibition hasn't stopped the flow of booze in an underground network of gangster-run speakeasies. The opportunity to gain power and money is there for any man with enough ambition and nerve, and Joe Coughlin, the son of the Boston Police superintendent, long ago turned his back on his strict upbringing for the spoils of being an outlaw. But even among criminals there are rules, and Joe breaks a big one: crossing a powerful mob boss by stealing his money and his moll.
            ","Jan 13, 2017, Wide"
1786,live free or die hard,2007,"united states of america, united kingdom","thriller, crime fiction, action thrillers, action",110000000,134529403,0.3465859066652454,253626608,0.6534140933347545,388156011,128,pg-13,86%,82%,"As the nation prepares to celebrate Independence Day, veteran cop John McClane (Bruce Willis) carries out another routine assignment: bringing in a computer hacker (Justin Long) for questioning. Meanwhile, a tech-savvy villain named Thomas Gabriel (Timothy Olyphant) launches an attack on America's computer infrastructure. As chaos descends around him, McClane must use old-fashioned methods to fight the high-tech threat.
            ","Jun 27, 2007, Wide"
1787,living out loud,1998,united states of america,"romantic comedy, comedy-drama, drama, comedy, film adaptation, romantic drama, romance film, feminist film",12000000,12905901,0.8267555285135794,2704398,0.1732444714864206,15610299,100,r,62%,60%,"After being unceremoniously dumped by her husband, 40-something divorcée Judith Moore (Holly Hunter) tries to make sense of her new existence. She becomes friends with Pat Francato (Danny DeVito), the elevator operator in her high-rise apartment building, who is having marital problems of his own. She also dabbles in a new romance with an attractive masseur, and lets loose in a nightclub ruled by a torch singer, Liz Bailey (Queen Latifah), with whom she soon connects.
            ","Sep 15, 1998, Original"
1788,locke,2014,"united kingdom, united states of america",thriller/suspense,2000000,1370646,0.6259229153347338,819154,0.3740770846652662,2189800,85,r,72%,91%,"A man's (Tom Hardy) life unravels after he leaves a construction site at a critical time and drives to London to be present for the birth of a child conceived during a one-night stand.
            ","Apr 25, 2014, Limited"
1789,lockout,2012,"united states of america, france","thriller, science fiction, action",20000000,14326865,0.4220853877917685,19616184,0.5779146122082315,33943049,95,pg-13,46%,38%,"Emilie Warnock (Maggie Grace), the daughter of the American president, leads a humanitarian mission to MS One, an outer-space prison in which the 500 most dangerous criminals from Earth are kept in a state of artificial sleep. Just as Emilie arrives, the now-awakened prisoners stage a violent rebellion, and she and the MS One crew are taken hostage. Emilie's only chance for salvation lies with Snow (Guy Pearce), a wrongly convicted agent who has been promised his freedom if he saves her.
            ","Apr 13, 2012, Wide"
1790,logan,2017,united states of america,"action, drama, sci-fi, thriller",97000000,226277068,0.3654463746766994,392902882,0.6345536253233006,619179950,137,r,91%,93%,"In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote outpost on the Mexican border. His plan to hide from the outside world gets upended when he meets a young mutant (Dafne Keen) who is very much like him. Logan must now protect the girl and battle the dark forces that want to capture her.
            ","Mar 3, 2017, Wide"
1791,logan lucky,2017,united states,"action, comedy, crime, drama",29000000,27780977,0.5733521169374292,20672628,0.4266478830625709,48453605,118,pg-13,76%,92%,"West Virginia family man Jimmy Logan teams up with his one-armed brother Clyde and sister Mellie to steal money from the Charlotte Motor Speedway in North Carolina. Jimmy also recruits demolition expert Joe Bang to help them break into the track's underground system. Complications arise when a mix-up forces the crew to pull off the heist during a popular NASCAR race while also trying to dodge a relentless FBI agent.
            ","Aug 18, 2017, Wide"
1792,loganã¢ââs run,1976,united states of america,action,7000000,25000000,0.9999969600092417,76,3.0399907584280945e-06,25000076,119,pg,67%,58%,"In the year 2274, young residents enjoy an idyllic, hedonistic lifestyle within the protective confines of a domed city. The general belief is that when each person turns 30, they are reincarnated for another blissful life cycle. Those who know the much darker truth become ""runners"" and flee to a hidden sanctuary. When law enforcement officer Logan (Michael York) goes undercover to locate the refuge, he winds up instead trying to initiate a revolution with runner Jessica (Jenny Agutter).
            ","Jan 23, 1976, Original"
1793,lol,2012,united states of america,comedy,11000000,46000,0.0043903577817087,10431506,0.9956096422182912,10477506,97,pg-13,50%,14%,"In a world where connections via Facebook, Twitter and other social media networks are the norm, high-school student Lola (Miley Cyrus) is trying to navigate her way through the usual teen pressures of romance, friendship and overprotective parents (Demi Moore, Thomas Jane). Broken-hearted by a break-up with her boyfriend, Lola's world turns upside-down when she realizes that her best friend, Kyle (Douglas Booth), could actually be the love of her life.
            ","May 4, 2012, Limited"
1794,london fields,2018,"united kingdom, united states of america",thriller/suspense,8000000,252676,0.5825625040347495,181056,0.4174374959652504,433732,118,r,32%,0%,"Clairvoyant femme fatale Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men, one of whom she knows will be her murderer.
            ","Oct 26, 2018, Limited"
1795,london has fallen,2016,united states,"action, thriller",60000000,62524260,0.303878049352683,143230187,0.696121950647317,205754447,99,r,51%,28%,"After the death of the British prime minister, the world's most powerful leaders gather in London to pay their respects. Without warning, terrorists unleash a devastating attack that leaves the city in chaos and ruins. Secret Service agent Mike Banning (Gerard Butler) springs into action to bring U.S. President Benjamin Asher (Aaron Eckhart) to safety. When Asher falls into the hands of the sinister organization, it's up to Banning to save his commander in chief from a horrible fate.
            ","Mar 4, 2016, Wide"
1796,london to brighton,2006,united kingdom,"thriller, crime fiction, action, drama",825000,6700,0.0148994509441137,442981,0.9851005490558864,449681,85,r,74%,68%,"Kelly (Lorraine Stanley), a prostitute, is sent by her pimp, Derek (Johnny Harris), to procure a young girl for aging gangster Duncan (Alexander Morton). She brings back 11-year-old Joanne (Georgia Groome) -- but sex between Duncan and Joanne goes badly, and the gangster is inadvertently killed, forcing the two girls to flee London for the resort city of Brighton. As Kelly struggles to earn money to send Joanne to her grandmother, Duncan's son orders Derek to find the girls and take revenge.
            ","Feb 8, 2008, Limited"
1797,lone survivor,2013,united states,"action, biography, drama, war",40000000,125095601,0.8080959161801814,29707311,0.1919040838198185,154802912,121,r,87%,75%,"In 2005 Afghanistan, Navy SEALs Marcus Luttrell (Mark Wahlberg), Michael Murphy (Taylor Kitsch), Danny Dietz (Emile Hirsch) and Matthew ""Axe"" Axelson (Ben Foster) deploy on a mission of surveillance and to take out Taliban leader Ahmad Shah. Though spotted by goatherds, Luttrell and his team decide not to kill them. But one of the Afghans alerts a group of Taliban fighters to the invaders, and a terrible battle ensues, in which the SEALs find themselves hopelessly outnumbered and outgunned.
            ","Jan 10, 2014, Wide"
1798,lonesome jim,2005,united states of america,"romantic comedy, indie, family drama, drama, comedy, romantic drama, romance film",500000,154187,0.8454254350853722,28191,0.1545745649146278,182378,95,r,57%,61%,"After failing to find success as a writer in New York City, Jim (Casey Affleck) slinks back to his family's home in the Midwest to lick his wounds. But his visit is quickly complicated when his angst spreads to his brother, Tim (Kevin Corrigan), who promptly decides to drive his car straight into a tree. Under the shadow of his sibling's injurious actions, Jim strikes up an unlikely friendship with Anika (Liv Tyler), whose centered small-town wisdom gradually rubs off on him.
            ","Jan 21, 2005, Original"
1799,long shot,2019,united states of america,"comedy, romance",40000000,30316271,0.5627274470234692,23557538,0.4372725529765308,53873809,125,r,74%,82%,"Fred Flarsky is a gifted and free-spirited journalist who has a knack for getting into trouble. Charlotte Field is one of the most influential women in the world -- a smart, sophisticated and accomplished politician. When Fred unexpectedly runs into Charlotte, he soon realizes that she was his former baby sitter and childhood crush. When Charlotte decides to make a run for the presidency, she impulsively hires Fred as her speechwriter -- much to the dismay of her trusted advisers.
            ","May 3, 2019, Wide"
1800,looney tunes: back in action,2003,united states of america,"adventure, animation, adventure comedy, comedy, animated cartoon, family film, slapstick",80000000,20991364,0.3063768779799017,47523480,0.6936231220200983,68514844,93,pg,50%,58%,"Sick of ceding the spotlight to Bugs Bunny (Joe Alaskey), Daffy Duck is unceremoniously fired by studio boss Kate Houghton (Jenna Elfman) when he demands equal pay and billing. Daffy goes on a studio lot rampage, taking down security guard D.J. Drake (Brendan Fraser) in the process, who is also sacked. But when D.J.'s A-list actor dad (Timothy Dalton) is kidnapped by the evil Mr. Chairman (Steve Martin), D.J. and Daffy try to rescue him, while also being pursued by Kate and Bugs.
            ","Nov 14, 2003, Wide"
1801,looper,2012,united states of america,"science fiction, action",30000000,66486205,0.3766778268209569,110020614,0.623322173179043,176506819,119,r,82%,93%,"In a future society, time-travel exists, but it's only available to those with the means to pay for it on the black market. When the mob wants to eliminate someone, it sends the target into the past, where a hit man known as a looper lies in wait to finish the job. Joe (Joseph Gordon-Levitt) is one such hired gun, and he does his job well -- until the day his bosses decide to ""close the loop"" and send Joe's future self (Bruce Willis) back in time to be killed.
            ","Sep 28, 2012, Wide"
1802,lord of war,2005,"united states of america, france, germany","thriller, crime fiction, action/adventure, drama, war film, crime thriller, action, political drama",42000000,24149632,0.3325613752403223,48467436,0.6674386247596777,72617068,122,r,85%,62%,"The 20-year arms dealing career of Queens, N.Y., outcast Yuri Orlov (Nicolas Cage) serves as a window onto the end of the Cold War and the emergence of worldwide terrorism. He finds himself reassuring his more ethically challenged younger brother, Vitaly (Jared Leto), while adeptly sidestepping the pursuit of federal agent Jack Lawrence (Ethan Hawke). The globetrotting arms dealer also pursues the woman of his dreams, supermodel Ava Fontaine (Bridget Moynahan).
            ","Sep 16, 2005, Wide"
1803,lords of dogtown,2005,"united states of america, germany","sports, period piece, drama, coming of age, biographical film, teen",25000000,11273517,0.8405571983268363,2138440,0.1594428016731637,13411957,107,pg-13,81%,55%,"A drought in 1970s Southern California has an unexpected side effect: as people empty their swimming pools, a group of teen surfers from the Dogtown area of Venice Beach move in with skateboards, and a new sport is born. Based on a true story, this film follows Z-Boys skate team members Stacy Peralta (John Robinson), Tony Alva (Victor Rasuk) and Jay Adams (Emile Hirsch), plus manager Skip Engblom (Heath Ledger), as their fearless pool surfing leads to fame, fortune -- and misfortune.
            ","Jun 3, 2005, Wide"
1804,lost in space,1998,"united states of america, united kingdom","time travel, science fiction, action, adventure",80000000,69117629,0.507622810651893,67041794,0.492377189348107,136159423,130,pg-13,24%,27%,"The space family Robinson is on a journey to Alpha Prime in the hopes of establishing a colony there and thereby saving humanity from extinction. Their plans are foiled by the evil Dr. Smith (Gary Oldman) and they find themselves curiously enough, lost in space.
            ","Apr 3, 1998, Wide"
1805,lost in translation,2003,"united states of america, japan","romantic comedy, japanese movies, indie, comedy of manners, comedy-drama, drama, comedy, romantic drama, romance film",4000000,44585453,0.3756606380396088,74100000,0.6243393619603912,118685453,102,r,85%,95%,"A lonely, aging movie star named Bob Harris (Bill Murray) and a conflicted newlywed, Charlotte (Scarlett Johansson), meet in Tokyo. Bob is there to film a Japanese whiskey commercial; Charlotte is accompanying her celebrity-photographer husband. Strangers in a foreign land, the two find escape, distraction and understanding amidst the bright Tokyo lights after a chance meeting in the quiet lull of the hotel bar. They form a bond that is as unlikely as it is heartfelt and meaningful.
            ","Sep 19, 2003, Wide"
1806,lost river,2015,united states of america,thriller/suspense,2000000,45431,0.0226064914979966,1964213,0.9773935085020032,2009644,105,r,38%,30%,"A single mother is swept into a dark underworld while her son discovers an underwater town.
            ","Apr 10, 2015, Limited"
1807,lost souls,2000,united states of america,"thriller, horror, supernatural",28000000,16815253,0.5362706105483783,14540657,0.4637293894516217,31355910,97,r,22%,8%,"A modern thriller in which faith battles reason, Ryder plays a young woman who becomes aware of a conspiracy to enable the Devil to walk the earth in human form. To defeat the prophesy, she must convince a respected New York crime journalist, who is devoid of faith, that he is in fact the target of the conspiracy.
            ","Oct 13, 2000, Wide"
1808,love actually,2003,"united states of america, france, united kingdom","romantic comedy, ensemble film, comedy-drama, holiday film, drama, comedy, romance film",45000000,59696144,0.2400046000234648,189033022,0.7599953999765351,248729166,135,r,72%,64%,"Nine intertwined stories examine the complexities of the one emotion that connects all individuals, love. Among the characters explored are David, the handsome newly elected British prime minister who falls for a young junior staffer, Sarah, a graphic designer whose devotion to her mentally ill brother complicates her love life, and Harry, a married man tempted by his attractive new secretary.
            ","Nov 14, 2003, Wide"
1809,love and monsters,2020,united states of america,"action, adventure, comedy, fantasy, sci-fi",30000000,1070714,0.9461253725645786,60969,0.0538746274354214,1131683,109,pg-13,89%,94%,"Seven years after the Monsterpocalypse, Joel Dawson, along with the rest of humanity, has been living underground ever since giant creatures took control of the land. After reconnecting over the radio with his high school girlfriend, Aimee, who is now 80 miles away at a coastal colony, Joel begins to fall for her again. As Joel realizes that there's nothing left for him underground, he decides to venture out to Aimee, despite all the dangerous monsters that stand in his way.
            ","Oct 16, 2020, Limited"
1810,love and other drugs,2010,united states of america,drama,30000000,32367005,0.3151106336840082,70349316,0.6848893663159918,102716321,112,r,53%,49%,"Handsome pharmaceutical salesman Jamie Randall (Jake Gyllenhaal) always has good luck with women. A chance encounter with Maggie Murdock (Anne Hathaway), a free-spirited Parkinson's patient, leads to a sexual relationship. As Jamie and Maggie become closer, each must question if a serious commitment is in their future.
            ","Nov 24, 2010, Wide"
1811,love happens,2009,"united states of america, canada, united kingdom","romantic drama, romance film, drama",18000000,22965110,0.6355713918578727,13167904,0.3644286081421273,36133014,109,pg-13,37%,16%,"Dr. Burke Ryan (Aaron Eckhart) is a self-help guru who is on the verge of a lucrative multimedia deal. But there's a problem: though he advises his patients to confront their pain, Burke has never come to terms with his wife's death. Eloise Chandler (Jennifer Aniston) has had enough of men and dating, and is busy concentrating on her floral business. When they meet, Burke and Eloise feel an instant attraction, but wonder if they'll be able to let go of their painful pasts and embrace the future.
            ","Sep 18, 2009, Wide"
1812,love in the time of cholera,2007,"united states of america, colombia","romantic drama, romance film, drama, period piece, film adaptation",45000000,4617608,0.1461921731665073,26968269,0.8538078268334927,31585877,139,r,45%,26%,"When Florentino Ariza (Javier Bardem) sees Fermina Daza (Giovanna Mezzogiorno) through a villa window, it is love at first sight. Though a man of modest means, Florentino's skill as a poet awakens a similar passion within Fermina. But Fermina's father disapproves of the affair and vows to keep the lovers apart. Fermina eventually marries an aristocratic doctor (Benjamin Bratt), and they move to Paris. Florentino, however, still loves Fermina and patiently waits for a chance to be with her again.
            ","Nov 16, 2007, Wide"
1813,love jones,1997,united states of america,"romantic comedy, indie, comedy-drama, drama, comedy, romantic drama, romance film",10000000,12479335,0.9762637911453944,303414,0.0237362088546055,12782749,109,r,97%,76%,"Two urban African-Americans, Darius (Larenz Tate), an aspiring writer, and Nina (Nia Long), an aspiring photographer, share an instant connection after a chance meeting at a Chicago club. The two bond over music, photography and poetry, and eventually begin a torrid romance. However, when Nina decides to move to New York and mend her relationship with her ex-fiancé, Marvin (Khalil Kain), it leaves Darius heartbroken, and the couple's future in jeopardy.
            ","Mar 14, 1997, Original"
1814,love liza,2002,"france, united states of america, germany","black comedy, drama, comedy, indie",1000000,213137,0.9539489584918496,10289,0.0460510415081503,223426,90,r,76%,55%,"After his wife commits suicide, a distraught man (Philip Seymour Hoffman) begins to sniff gasoline and search for answers.
            ","Dec 30, 2002, Wide"
1815,love ranch,2010,united states of america,"period piece, marriage drama, drama",25000000,137885,0.9434549671910174,8264,0.0565450328089826,146149,117,r,28%,12%,"In the late 1970s, Grace and Charlie Bontempo open Nevada's first legal brothel. Their lives take a sudden turn when a boxer from South America comes to the brothel to train, causing a deadly love triangle to form.
            ","Jun 30, 2010, Limited"
1816,love the coopers,2015,united states of america,"comedy, fantasy, romance",18000000,26302731,0.6199539339558816,16124181,0.3800460660441184,42426912,107,pg-13,37%,18%,"For their annual Christmas Eve celebration, Sam Cooper (John Goodman) and his wife Charlotte (Diane Keaton) welcome four generations of extended family, including son Hank (Ed Helms), daughter Eleanor (Olivia Wilde) and Charlotte's father, Bucky (Alan Arkin). Sam and Charlotte are separating after 40 years of marriage, while Hank is in the middle of a divorce. As the guests reveal their respective problems, they also rediscover the importance of kinship and the spirit of the holiday.
            ","Nov 13, 2015, Wide"
1817,"love, simon",2018,united states,"comedy, drama, romance",10000000,40826341,0.615630663531248,25489948,0.384369336468752,66316289,110,pg-13,87%,92%,"Everyone deserves a great love story, but for 17-year-old Simon Spier, it's a little more complicated. He hasn't told his family or friends that he's gay, and he doesn't know the identity of the anonymous classmate that he's fallen for online. Resolving both issues proves hilarious, terrifying and life-changing.
            ","Mar 16, 2018, Wide"
1818,lovely and amazing,2002,united states of america,drama,250000,4210379,0.9126249977782508,403103,0.0873750022217492,4613482,91,r,64%,86%,"A finely observed comedy, ""Lovely & Amazing"" is an intimate family portrait of four hapless but resilient women and the bittersweet lessons they learn in keeping up with the hectic demands of their individual neuroses. Each of the women seeks redemption in her own haphazard way, but whatever salvation they find is illusory and short-lived.
            ","Jun 28, 2002, Original"
1819,"lovely, still",2010,united states of america,drama,5000000,127564,0.4512552752691139,155123,0.5487447247308861,282687,92,pg,75%,73%,"Martin (Martin Landau), a perennial bachelor, is surprised when his new neighbor Mary (Ellen Burstyn) asks him out on a date. The unexpected romance blooms until Martin's fear and jealousy take the couple down an unexpected path.
            ","Nov 6, 2009, Limited"
1820,loving,2016,united states of america,"biography, drama, romance",9000000,7751969,0.5982720118790501,5205296,0.4017279881209499,12957265,123,pg-13,76%,88%,"Interracial couple Richard and Mildred Loving fell in love and were married in 1958. They grew up in Central Point, a small town in Virginia that was more integrated than surrounding areas in the American South. Yet it was the state of Virginia, where they were making their home and starting a family, that first jailed and then banished them. Richard and Mildred relocated with their children to the inner city of Washington, D.C., but the family ultimately tries to find a way back to Virginia.
            ","Nov 23, 2016, Wide"
1821,loving vincent,2017,united kingdom,"animation, drama, mystery",5500000,6735118,0.1594672471377965,35500000,0.8405327528622034,42235118,94,pg-13,87%,84%,"Mystery surrounds the death of famed painter Vincent van Gogh in 1890 France.
            ","Sep 22, 2017, Limited"
1822,lowriders,2017,united states of america,drama,916000,6179955,0.9986319612062592,8466,0.0013680387937407,6188421,99,pg-13,61%,58%,"A teenage graffiti artist (Gabriel Chavarria) paints murals on the hoods of lowrider cars to help his older brother (Theo Rossi) win an upcoming competition.
            ","May 12, 2017, Limited"
1823,lucky break,2001,"germany, united kingdom, united states of america",comedy,6000000,54606,0.012650535839594,4261891,0.987349464160406,4316497,107,pg-13,48%,47%,"From the director of The Full Monty comes a comedy about a prison escape with a musical twist. Smalltime crook Jimmy (James Nesbitt) botches a bank robbery, lands in prison and stages a musical that turns out to be Act One of the perfect escape plan. But it's Act Two that's stumped Jimmy. His leading lady has captured his heart, and with one leg already over the wall, he's got to come up with a new ending ... as the curtain falls fast on his freedom.
            ","Apr 5, 2002, Original"
1824,lucky number slevin,2006,"united states of america, germany","crime fiction, thriller, comedy thriller, mystery, drama, crime thriller",27000000,22495466,0.3995012083440266,33813415,0.6004987916559734,56308881,110,r,87%,52%,"A case of mistaken identity puts a man named Slevin (Josh Hartnett) in the middle of a war between two rival New York crime lords: The Rabbi (Ben Kingsley) and the Boss (Morgan Freeman). While under the watchful eyes of Detective Brikowski (Stanley Tucci) and well-known assassin Goodkat (Bruce Willis), Slevin must quickly devise a plan to save his skin before his luck runs out.
            ","Apr 7, 2006, Wide"
1825,lucky numbers,2000,"france, united states of america","crime fiction, comedy",65000000,10042516,0.9221589789445982,847706,0.0778410210554018,10890222,105,r,19%,23%,"Russ Richards (John Travolta) is a TV weatherman and local celebrity on the verge of losing his shirt. Desperate to escape financial ruin, he schemes with Crystal (Lisa Kudrow) the TV station's lotto ball girl to rig the state lottery drawing. The numbers come up right, but everything else goes wrong as the plan starts to unravel and the game turns rough.
            ","Oct 27, 2000, Wide"
1826,lucky you,2007,united states of america,"drama, romance, sport",55000000,5758950,0.6805913147805296,2702736,0.3194086852194704,8461686,124,pg-13,28%,28%,"Huck Cheever (Eric Bana) is a talented poker player who must balance an intense love affair with the feats he must accomplish to win a slot in the world championship game in Las Vegas. If he makes it to the table, there is a chance he may have to compete against his father (Robert Duvall), a poker legend who abandoned Huck's mother years ago.
            ","May 4, 2007, Wide"
1827,lucy,2014,"france, united states of america","action, sci-fi, thriller",40000000,126663600,0.270037916415957,342394974,0.7299620835840429,469058574,89,r,47%,67%,"When a boyfriend tricks Lucy (Scarlett Johansson) into delivering a briefcase to a supposed business contact, the once-carefree student is abducted by thugs who intend to turn her into a drug mule. She is surgically implanted with a package containing a powerful chemical, but it leaks into her system, giving her superhuman abilities, including telekinesis and telepathy. With her former captors in pursuit, Lucy seeks out a neurologist (Morgan Freeman), who she hopes will be able to help her.
            ","Jul 25, 2014, Wide"
1828,lucy in the sky,2019,united states of america,"drama, romance, thriller",27000000,319976,0.9816720355882804,5974,0.0183279644117195,325950,124,r,31%,21%,"After an awe-inspiring experience in outer space, an astronaut returns to Earth and starts to lose touch with reality in a world that now seems too small.
            ","Oct 4, 2019, Limited"
1829,"lust, caution",2007,"united states of america, hong kong, china, taiwan","thriller, erotic drama, erotica, world cinema, erotic thriller, period piece, drama, art film, war film, romance film, chinese movies, spy",15000000,4604982,0.0686369140007406,62486933,0.9313630859992592,67091915,157,nc-17,84%,73%,"During World War II a secret agent (Tang Wei) must seduce, then assassinate an official (Tony Leung Chiu Wai) who works for the Japanese puppet government in Shanghai. Her mission becomes clouded when she finds herself falling in love with the man she is assigned to kill.
            ","Sep 28, 2007, Wide"
1830,"lyle, lyle, crocodile",2022,united states of america,"adventure, comedy, family, fantasy, musical",50000000,46888441,0.4221136973544195,64191681,0.5778863026455805,111080122,106,pg,93%,71%,"When the Primm family (Constance Wu, Scoot McNairy, Winslow Fegley) moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle - a singing crocodile (Shawn Mendes) who loves baths, caviar and great music-living in the attic of his new home. The two become fast friends, but when Lyle's existence is threatened by evil neighbor Mr. Grumps (Brett Gelman), the Primm's must band together with Lyle's charismatic owner, Hector P. Valenti (Javier Bardem), to show the world that family can come from the most unexpected places and there's nothing wrong with a big singing crocodile with an even bigger personality.
            ","Oct 7, 2022, Wide"
1831,m*a*s*h,1970,united states of america,"comedy, drama, war",3500000,81600000,0.9999976348095158,193,2.365190484292114e-06,81600193,116,r,82%,86%,"Based on the novel by Richard Hooker, ""M*A*S*H"" follows a group of Mobile Army Surgical Hospital officers at they perform surgery and pass the time just miles from the front lines of the Korean Conflict. Led by Captains Hawkeye Pierce (Donald Sutherland) and Trapper John McIntyre (Elliott Gould), they add to the chaos and hilarity of the situation.
            ","Jan 30, 1970, Wide"
1832,m3gan,2022,united states of america,"horror, sci-fi, thriller",12000000,95159005,0.52839955468934,84930104,0.4716004453106601,180089109,102,pg-13,78%,93%,"M3GAN is a marvel of artificial intelligence, a life-like doll programmed to be a child's greatest companion and a parent's greatest ally. Designed by brilliant toy-company roboticist Gemma (Get Out's Allison Williams), M3GAN can listen and watch and learn as she becomes friend and teacher, playmate and protector, for the child she is bonded to. When Gemma suddenly becomes the caretaker of her orphaned 8-year-old niece, Cady (Violet McGraw, The Haunting of Hill House), Gemma's unsure and unprepared to be a parent. Under intense pressure at work, Gemma decides to pair her M3GAN prototype with Cady in an attempt to resolve both problems--a decision that will have unimaginable consequences.
            ","Jan 6, 2023, Wide"
